symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Joint Pain,Localized or widespread?,5,1,3,0,1
Joint Pain,Constant or intermittent?,6,0,1,7,0
Joint Pain,Does it affect daily activities?,4,5,2,4,1
Joint Pain,Any emergency warning signs?,2,5,3,3,0
Muscle Pain,Since how many days?,1,3,1,6,1
Muscle Pain,"Mild, moderate or severe?",8,2,2,1,0
Muscle Pain,How frequently does it occur?,3,4,3,2,1
Muscle Pain,When did it start worsening?,7,3,1,5,0
Muscle Pain,Any associated symptoms present?,0,5,2,8,1
Muscle Pain,Triggered by activity?,9,5,3,0,0
Muscle Pain,Localized or widespread?,5,1,1,7,1
Muscle Pain,Constant or intermittent?,6,0,2,4,0
Muscle Pain,Does it affect daily activities?,4,5,3,3,1
Muscle Pain,Any emergency warning signs?,2,5,1,6,0
Palpitations,Since how many days?,1,3,2,1,1
Palpitations,"Mild, moderate or severe?",8,2,3,2,0
Palpitations,How frequently does it occur?,3,4,1,5,1
Palpitations,When did it start worsening?,7,3,2,8,0
Palpitations,Any associated symptoms present?,0,5,3,0,1
Palpitations,Triggered by activity?,9,5,1,7,0
Palpitations,Localized or widespread?,5,1,2,4,1
Palpitations,Constant or intermittent?,6,0,3,3,0
Palpitations,Does it affect daily activities?,4,5,1,6,1
Palpitations,Any emergency warning signs?,2,5,2,1,0
Leg Swelling,Since how many days?,1,3,3,2,1
Leg Swelling,"Mild, moderate or severe?",8,2,1,5,0
Leg Swelling,How frequently does it occur?,3,4,2,8,1
Leg Swelling,When did it start worsening?,7,3,3,0,0
Leg Swelling,Any associated symptoms present?,0,5,1,7,1
Leg Swelling,Triggered by activity?,9,5,2,4,0
Leg Swelling,Localized or widespread?,5,1,3,3,1
Leg Swelling,Constant or intermittent?,6,0,1,6,0
Leg Swelling,Does it affect daily activities?,4,5,2,1,1
Leg Swelling,Any emergency warning signs?,2,5,3,2,0
Syncope,Since how many days?,1,3,1,5,1
Syncope,"Mild, moderate or severe?",8,2,2,8,0
Syncope,How frequently does it occur?,3,4,3,0,1
Syncope,When did it start worsening?,7,3,1,7,0
Syncope,Any associated symptoms present?,0,5,2,4,1
Syncope,Triggered by activity?,9,5,3,3,0
Syncope,Localized or widespread?,5,1,1,6,1
Syncope,Constant or intermittent?,6,0,2,1,0
Syncope,Does it affect daily activities?,4,5,3,2,1
Syncope,Any emergency warning signs?,2,5,1,5,0
Wheezing,Since how many days?,1,3,2,8,1
Wheezing,"Mild, moderate or severe?",8,2,3,0,0
Wheezing,How frequently does it occur?,3,4,1,7,1
Wheezing,When did it start worsening?,7,3,2,4,0
Wheezing,Any associated symptoms present?,0,5,3,3,1
Wheezing,Triggered by activity?,9,5,1,6,0
Wheezing,Localized or widespread?,5,1,2,1,1
Wheezing,Constant or intermittent?,6,0,3,2,0
Wheezing,Does it affect daily activities?,4,5,1,5,1
Wheezing,Any emergency warning signs?,2,5,2,8,0
Sore Throat,Since how many days?,1,3,3,0,1
Sore Throat,"Mild, moderate or severe?",8,2,1,7,0
Sore Throat,How frequently does it occur?,3,4,2,4,1
Sore Throat,When did it start worsening?,7,3,3,3,0
Sore Throat,Any associated symptoms present?,0,5,1,6,1
Sore Throat,Triggered by activity?,9,5,2,1,0
Sore Throat,Localized or widespread?,5,1,3,2,1
Sore Throat,Constant or intermittent?,6,0,1,5,0
Sore Throat,Does it affect daily activities?,4,5,2,8,1
Sore Throat,Any emergency warning signs?,2,5,3,0,0
Runny Nose,Since how many days?,1,3,1,7,1
Runny Nose,"Mild, moderate or severe?",8,2,2,4,0
Runny Nose,How frequently does it occur?,3,4,3,3,1
Runny Nose,When did it start worsening?,7,3,1,6,0
Runny Nose,Any associated symptoms present?,0,5,2,1,1
Runny Nose,Triggered by activity?,9,5,3,2,0
Runny Nose,Localized or widespread?,5,1,1,5,1
Runny Nose,Constant or intermittent?,6,0,2,8,0
Runny Nose,Does it affect daily activities?,4,5,3,0,1
Runny Nose,Any emergency warning signs?,2,5,1,7,0
Nasal Congestion,Since how many days?,1,3,2,4,1
Nasal Congestion,"Mild, moderate or severe?",8,2,3,3,0
Nasal Congestion,How frequently does it occur?,3,4,1,6,1
Nasal Congestion,When did it start worsening?,7,3,2,1,0
Nasal Congestion,Any associated symptoms present?,0,5,3,2,1
Nasal Congestion,Triggered by activity?,9,5,1,5,0
Nasal Congestion,Localized or widespread?,5,1,2,8,1
Nasal Congestion,Constant or intermittent?,6,0,3,0,0
Nasal Congestion,Does it affect daily activities?,4,5,1,7,1
Nasal Congestion,Any emergency warning signs?,2,5,2,4,0
Chills,Since how many days?,1,3,3,3,1
Chills,"Mild, moderate or severe?",8,2,1,6,0
Chills,How frequently does it occur?,3,4,2,1,1
Chills,When did it start worsening?,7,3,3,2,0
Chills,Any associated symptoms present?,0,5,1,5,1
Chills,Triggered by activity?,9,5,2,8,0
Chills,Localized or widespread?,5,1,3,0,1
Chills,Constant or intermittent?,6,0,1,7,0
Chills,Does it affect daily activities?,4,5,2,4,1
Chills,Any emergency warning signs?,2,5,3,3,0
Night Sweats,Since how many days?,1,3,1,6,1
Night Sweats,"Mild, moderate or severe?",8,2,2,1,0
Night Sweats,How frequently does it occur?,3,4,3,2,1
Night Sweats,When did it start worsening?,7,3,1,5,0
Night Sweats,Any associated symptoms present?,0,5,2,8,1
Night Sweats,Triggered by activity?,9,5,3,0,0
Night Sweats,Localized or widespread?,5,1,1,7,1
Night Sweats,Constant or intermittent?,6,0,2,4,0
Night Sweats,Does it affect daily activities?,4,5,3,3,1
Night Sweats,Any emergency warning signs?,2,5,1,6,0
Weight Loss,Since how many days?,1,3,2,1,1
Weight Loss,"Mild, moderate or severe?",8,2,3,2,0
Weight Loss,How frequently does it occur?,3,4,1,5,1
Weight Loss,When did it start worsening?,7,3,2,8,0
Weight Loss,Any associated symptoms present?,0,5,3,0,1
Weight Loss,Triggered by activity?,9,5,1,7,0
Weight Loss,Localized or widespread?,5,1,2,4,1
Weight Loss,Constant or intermittent?,6,0,3,3,0
Weight Loss,Does it affect daily activities?,4,5,1,6,1
Weight Loss,Any emergency warning signs?,2,5,2,1,0
Loss of Appetite,Since how many days?,1,3,3,2,1
Loss of Appetite,"Mild, moderate or severe?",8,2,1,5,0
Loss of Appetite,How frequently does it occur?,3,4,2,8,1
Loss of Appetite,When did it start worsening?,7,3,3,0,0
Loss of Appetite,Any associated symptoms present?,0,5,1,7,1
Loss of Appetite,Triggered by activity?,9,5,2,4,0
Loss of Appetite,Localized or widespread?,5,1,3,3,1
Loss of Appetite,Constant or intermittent?,6,0,1,6,0
Loss of Appetite,Does it affect daily activities?,4,5,2,1,1
Loss of Appetite,Any emergency warning signs?,2,5,3,2,0
Weakness,Since how many days?,1,3,1,5,1
Weakness,"Mild, moderate or severe?",8,2,2,8,0
Weakness,How frequently does it occur?,3,4,3,0,1
Weakness,When did it start worsening?,7,3,1,7,0
Weakness,Any associated symptoms present?,0,5,2,4,1
Weakness,Triggered by activity?,9,5,3,3,0
Weakness,Localized or widespread?,5,1,1,6,1
Weakness,Constant or intermittent?,6,0,2,1,0
Weakness,Does it affect daily activities?,4,5,3,2,1
Weakness,Any emergency warning signs?,2,5,1,5,0
Confusion,Since how many days?,1,3,2,8,1
Confusion,"Mild, moderate or severe?",8,2,3,0,0
Confusion,How frequently does it occur?,3,4,1,7,1
Confusion,When did it start worsening?,7,3,2,4,0
Confusion,Any associated symptoms present?,0,5,3,3,1
Confusion,Triggered by activity?,9,5,1,6,0
Confusion,Localized or widespread?,5,1,2,1,1
Confusion,Constant or intermittent?,6,0,3,2,0
Confusion,Does it affect daily activities?,4,5,1,5,1
Confusion,Any emergency warning signs?,2,5,2,8,0
Memory Loss,Since how many days?,1,3,3,0,1
Memory Loss,"Mild, moderate or severe?",8,2,1,7,0
Memory Loss,How frequently does it occur?,3,4,2,4,1
Memory Loss,When did it start worsening?,7,3,3,3,0
Memory Loss,Any associated symptoms present?,0,5,1,6,1
Memory Loss,Triggered by activity?,9,5,2,1,0
Memory Loss,Localized or widespread?,5,1,3,2,1
Memory Loss,Constant or intermittent?,6,0,1,5,0
Memory Loss,Does it affect daily activities?,4,5,2,8,1
Memory Loss,Any emergency warning signs?,2,5,3,0,0
Seizure,Since how many days?,1,3,1,7,1
Seizure,"Mild, moderate or severe?",8,2,2,4,0
Seizure,How frequently does it occur?,3,4,3,3,1
Seizure,When did it start worsening?,7,3,1,6,0
Seizure,Any associated symptoms present?,0,5,2,1,1
Seizure,Triggered by activity?,9,5,3,2,0
Seizure,Localized or widespread?,5,1,1,5,1
Seizure,Constant or intermittent?,6,0,2,8,0
Seizure,Does it affect daily activities?,4,5,3,0,1
Seizure,Any emergency warning signs?,2,5,1,7,0
Numbness,Since how many days?,1,3,2,4,1
Numbness,"Mild, moderate or severe?",8,2,3,3,0
Numbness,How frequently does it occur?,3,4,1,6,1
Numbness,When did it start worsening?,7,3,2,1,0
Numbness,Any associated symptoms present?,0,5,3,2,1
Numbness,Triggered by activity?,9,5,1,5,0
Numbness,Localized or widespread?,5,1,2,8,1
Numbness,Constant or intermittent?,6,0,3,0,0
Numbness,Does it affect daily activities?,4,5,1,7,1
Numbness,Any emergency warning signs?,2,5,2,4,0
Tingling,Since how many days?,1,3,3,3,1
Tingling,"Mild, moderate or severe?",8,2,1,6,0
Tingling,How frequently does it occur?,3,4,2,1,1
Tingling,When did it start worsening?,7,3,3,2,0
Tingling,Any associated symptoms present?,0,5,1,5,1
Tingling,Triggered by activity?,9,5,2,8,0
Tingling,Localized or widespread?,5,1,3,0,1
Tingling,Constant or intermittent?,6,0,1,7,0
Tingling,Does it affect daily activities?,4,5,2,4,1
Tingling,Any emergency warning signs?,2,5,3,3,0
Tremor,Since how many days?,1,3,1,6,1
Tremor,"Mild, moderate or severe?",8,2,2,1,0
Tremor,How frequently does it occur?,3,4,3,2,1
Tremor,When did it start worsening?,7,3,1,5,0
Tremor,Any associated symptoms present?,0,5,2,8,1
Tremor,Triggered by activity?,9,5,3,0,0
Tremor,Localized or widespread?,5,1,1,7,1
Tremor,Constant or intermittent?,6,0,2,4,0
Tremor,Does it affect daily activities?,4,5,3,3,1
Tremor,Any emergency warning signs?,2,5,1,6,0
Facial Droop,Since how many days?,1,3,2,1,1
Facial Droop,"Mild, moderate or severe?",8,2,3,2,0
Facial Droop,How frequently does it occur?,3,4,1,5,1
Facial Droop,When did it start worsening?,7,3,2,8,0
Facial Droop,Any associated symptoms present?,0,5,3,0,1
Facial Droop,Triggered by activity?,9,5,1,7,0
Facial Droop,Localized or widespread?,5,1,2,4,1
Facial Droop,Constant or intermittent?,6,0,3,3,0
Facial Droop,Does it affect daily activities?,4,5,1,6,1
Facial Droop,Any emergency warning signs?,2,5,2,1,0
Blurred Vision,Since how many days?,1,3,3,2,1
Blurred Vision,"Mild, moderate or severe?",8,2,1,5,0
Blurred Vision,How frequently does it occur?,3,4,2,8,1
Blurred Vision,When did it start worsening?,7,3,3,0,0
Blurred Vision,Any associated symptoms present?,0,5,1,7,1
Blurred Vision,Triggered by activity?,9,5,2,4,0
Blurred Vision,Localized or widespread?,5,1,3,3,1
Blurred Vision,Constant or intermittent?,6,0,1,6,0
Blurred Vision,Does it affect daily activities?,4,5,2,1,1
Blurred Vision,Any emergency warning signs?,2,5,3,2,0
Frequent Urination,Since how many days?,1,3,1,5,1
Frequent Urination,"Mild, moderate or severe?",8,2,2,8,0
Frequent Urination,How frequently does it occur?,3,4,3,0,1
Frequent Urination,When did it start worsening?,7,3,1,7,0
Frequent Urination,Any associated symptoms present?,0,5,2,4,1
Frequent Urination,Triggered by activity?,9,5,3,3,0
Frequent Urination,Localized or widespread?,5,1,1,6,1
Frequent Urination,Constant or intermittent?,6,0,2,1,0
Frequent Urination,Does it affect daily activities?,4,5,3,2,1
Frequent Urination,Any emergency warning signs?,2,5,1,5,0
Excess Thirst,Since how many days?,1,3,2,8,1
Excess Thirst,"Mild, moderate or severe?",8,2,3,0,0
Excess Thirst,How frequently does it occur?,3,4,1,7,1
Excess Thirst,When did it start worsening?,7,3,2,4,0
Excess Thirst,Any associated symptoms present?,0,5,3,3,1
Excess Thirst,Triggered by activity?,9,5,1,6,0
Excess Thirst,Localized or widespread?,5,1,2,1,1
Excess Thirst,Constant or intermittent?,6,0,3,2,0
Excess Thirst,Does it affect daily activities?,4,5,1,5,1
Excess Thirst,Any emergency warning signs?,2,5,2,8,0
Heat Intolerance,Since how many days?,1,3,3,0,1
Heat Intolerance,"Mild, moderate or severe?",8,2,1,7,0
Heat Intolerance,How frequently does it occur?,3,4,2,4,1
Heat Intolerance,When did it start worsening?,7,3,3,3,0
Heat Intolerance,Any associated symptoms present?,0,5,1,6,1
Heat Intolerance,Triggered by activity?,9,5,2,1,0
Heat Intolerance,Localized or widespread?,5,1,3,2,1
Heat Intolerance,Constant or intermittent?,6,0,1,5,0
Heat Intolerance,Does it affect daily activities?,4,5,2,8,1
Heat Intolerance,Any emergency warning signs?,2,5,3,0,0
Cold Intolerance,Since how many days?,1,3,1,7,1
Cold Intolerance,"Mild, moderate or severe?",8,2,2,4,0
Cold Intolerance,How frequently does it occur?,3,4,3,3,1
Cold Intolerance,When did it start worsening?,7,3,1,6,0
Cold Intolerance,Any associated symptoms present?,0,5,2,1,1
Cold Intolerance,Triggered by activity?,9,5,3,2,0
Cold Intolerance,Localized or widespread?,5,1,1,5,1
Cold Intolerance,Constant or intermittent?,6,0,2,8,0
Cold Intolerance,Does it affect daily activities?,4,5,3,0,1
Cold Intolerance,Any emergency warning signs?,2,5,1,7,0
Rash,Since how many days?,1,3,2,4,1
Rash,"Mild, moderate or severe?",8,2,3,3,0
Rash,How frequently does it occur?,3,4,1,6,1
Rash,When did it start worsening?,7,3,2,1,0
Rash,Any associated symptoms present?,0,5,3,2,1
Rash,Triggered by activity?,9,5,1,5,0
Rash,Localized or widespread?,5,1,2,8,1
Rash,Constant or intermittent?,6,0,3,0,0
Rash,Does it affect daily activities?,4,5,1,7,1
Rash,Any emergency warning signs?,2,5,2,4,0
Itching,Since how many days?,1,3,3,3,1
Itching,"Mild, moderate or severe?",8,2,1,6,0
Itching,How frequently does it occur?,3,4,2,1,1
Itching,When did it start worsening?,7,3,3,2,0
Itching,Any associated symptoms present?,0,5,1,5,1
Itching,Triggered by activity?,9,5,2,8,0
Itching,Localized or widespread?,5,1,3,0,1
Itching,Constant or intermittent?,6,0,1,7,0
Itching,Does it affect daily activities?,4,5,2,4,1
Itching,Any emergency warning signs?,2,5,3,3,0
Skin Lesions,Since how many days?,1,3,1,6,1
Skin Lesions,"Mild, moderate or severe?",8,2,2,1,0
Skin Lesions,How frequently does it occur?,3,4,3,2,1
Skin Lesions,When did it start worsening?,7,3,1,5,0
Skin Lesions,Any associated symptoms present?,0,5,2,8,1
Skin Lesions,Triggered by activity?,9,5,3,0,0
Skin Lesions,Localized or widespread?,5,1,1,7,1
Skin Lesions,Constant or intermittent?,6,0,2,4,0
Skin Lesions,Does it affect daily activities?,4,5,3,3,1
Skin Lesions,Any emergency warning signs?,2,5,1,6,0
Hair Loss,Since how many days?,1,3,2,1,1
Hair Loss,"Mild, moderate or severe?",8,2,3,2,0
Hair Loss,How frequently does it occur?,3,4,1,5,1
Hair Loss,When did it start worsening?,7,3,2,8,0
Hair Loss,Any associated symptoms present?,0,5,3,0,1
Hair Loss,Triggered by activity?,9,5,1,7,0
Hair Loss,Localized or widespread?,5,1,2,4,1
Hair Loss,Constant or intermittent?,6,0,3,3,0
Hair Loss,Does it affect daily activities?,4,5,1,6,1
Hair Loss,Any emergency warning signs?,2,5,2,1,0
Insomnia,Since how many days?,1,3,3,2,1
Insomnia,"Mild, moderate or severe?",8,2,1,5,0
Insomnia,How frequently does it occur?,3,4,2,8,1
Insomnia,When did it start worsening?,7,3,3,0,0
Insomnia,Any associated symptoms present?,0,5,1,7,1
Insomnia,Triggered by activity?,9,5,2,4,0
Insomnia,Localized or widespread?,5,1,3,3,1
Insomnia,Constant or intermittent?,6,0,1,6,0
Insomnia,Does it affect daily activities?,4,5,2,1,1
Insomnia,Any emergency warning signs?,2,5,3,2,0
Anxiety,Since how many days?,1,3,1,5,1
Anxiety,"Mild, moderate or severe?",8,2,2,8,0
Anxiety,How frequently does it occur?,3,4,3,0,1
Anxiety,When did it start worsening?,7,3,1,7,0
Anxiety,Any associated symptoms present?,0,5,2,4,1
Anxiety,Triggered by activity?,9,5,3,3,0
Anxiety,Localized or widespread?,5,1,1,6,1
Anxiety,Constant or intermittent?,6,0,2,1,0
Anxiety,Does it affect daily activities?,4,5,3,2,1
Anxiety,Any emergency warning signs?,2,5,1,5,0
Depressed Mood,Since how many days?,1,3,2,8,1
Depressed Mood,"Mild, moderate or severe?",8,2,3,0,0
Depressed Mood,How frequently does it occur?,3,4,1,7,1
Depressed Mood,When did it start worsening?,7,3,2,4,0
Depressed Mood,Any associated symptoms present?,0,5,3,3,1
Depressed Mood,Triggered by activity?,9,5,1,6,0
Depressed Mood,Localized or widespread?,5,1,2,1,1
Depressed Mood,Constant or intermittent?,6,0,3,2,0
Depressed Mood,Does it affect daily activities?,4,5,1,5,1
Depressed Mood,Any emergency warning signs?,2,5,2,8,0
Irritability,Since how many days?,1,3,3,0,1
Irritability,"Mild, moderate or severe?",8,2,1,7,0
Irritability,How frequently does it occur?,3,4,2,4,1
Irritability,When did it start worsening?,7,3,3,3,0
Irritability,Any associated symptoms present?,0,5,1,6,1
Irritability,Triggered by activity?,9,5,2,1,0
Irritability,Localized or widespread?,5,1,3,2,1
Irritability,Constant or intermittent?,6,0,1,5,0
Irritability,Does it affect daily activities?,4,5,2,8,1
Irritability,Any emergency warning signs?,2,5,3,0,0
Ear Pain,Since how many days?,1,3,1,7,1
Ear Pain,"Mild, moderate or severe?",8,2,2,4,0
Ear Pain,How frequently does it occur?,3,4,3,3,1
Ear Pain,When did it start worsening?,7,3,1,6,0
Ear Pain,Any associated symptoms present?,0,5,2,1,1
Ear Pain,Triggered by activity?,9,5,3,2,0
Ear Pain,Localized or widespread?,5,1,1,5,1
Ear Pain,Constant or intermittent?,6,0,2,8,0
Ear Pain,Does it affect daily activities?,4,5,3,0,1
Ear Pain,Any emergency warning signs?,2,5,1,7,0
Hearing Loss,Since how many days?,1,3,2,4,1
Hearing Loss,"Mild, moderate or severe?",8,2,3,3,0
Hearing Loss,How frequently does it occur?,3,4,1,6,1
Hearing Loss,When did it start worsening?,7,3,2,1,0
Hearing Loss,Any associated symptoms present?,0,5,3,2,1
Hearing Loss,Triggered by activity?,9,5,1,5,0
Hearing Loss,Localized or widespread?,5,1,2,8,1
Hearing Loss,Constant or intermittent?,6,0,3,0,0
Hearing Loss,Does it affect daily activities?,4,5,1,7,1
Hearing Loss,Any emergency warning signs?,2,5,2,4,0
Neck Pain,Since how many days?,1,3,3,3,1
Neck Pain,"Mild, moderate or severe?",8,2,1,6,0
Neck Pain,How frequently does it occur?,3,4,2,1,1
Neck Pain,When did it start worsening?,7,3,3,2,0
Neck Pain,Any associated symptoms present?,0,5,1,5,1
Neck Pain,Triggered by activity?,9,5,2,8,0
Neck Pain,Localized or widespread?,5,1,3,0,1
Neck Pain,Constant or intermittent?,6,0,1,7,0
Neck Pain,Does it affect daily activities?,4,5,2,4,1
Neck Pain,Any emergency warning signs?,2,5,3,3,0
Pelvic Pain,Since how many days?,1,3,1,6,1
Pelvic Pain,"Mild, moderate or severe?",8,2,2,1,0
Pelvic Pain,How frequently does it occur?,3,4,3,2,1
Pelvic Pain,When did it start worsening?,7,3,1,5,0
Pelvic Pain,Any associated symptoms present?,0,5,2,8,1
Pelvic Pain,Triggered by activity?,9,5,3,0,0
Pelvic Pain,Localized or widespread?,5,1,1,7,1
Pelvic Pain,Constant or intermittent?,6,0,2,4,0
Pelvic Pain,Does it affect daily activities?,4,5,3,3,1
Pelvic Pain,Any emergency warning signs?,2,5,1,6,0
Menstrual Irregularity,Since how many days?,1,3,2,1,1
Menstrual Irregularity,"Mild, moderate or severe?",8,2,3,2,0
Menstrual Irregularity,How frequently does it occur?,3,4,1,5,1
Menstrual Irregularity,When did it start worsening?,7,3,2,8,0
Menstrual Irregularity,Any associated symptoms present?,0,5,3,0,1
Menstrual Irregularity,Triggered by activity?,9,5,1,7,0
Menstrual Irregularity,Localized or widespread?,5,1,2,4,1
Menstrual Irregularity,Constant or intermittent?,6,0,3,3,0
Menstrual Irregularity,Does it affect daily activities?,4,5,1,6,1
Menstrual Irregularity,Any emergency warning signs?,2,5,2,1,0
Burning Urination,Since how many days?,1,3,3,2,1
Burning Urination,"Mild, moderate or severe?",8,2,1,5,0
Burning Urination,How frequently does it occur?,3,4,2,8,1
Burning Urination,When did it start worsening?,7,3,3,0,0
