disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Idiopathic Hepatic Syndrome 44,Idiopathic Hepatic Syndrome 44 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,2,3
Primary Hepatic Syndrome 45,Primary Hepatic Syndrome 45 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,1,2
Secondary Hepatic Syndrome 46,Secondary Hepatic Syndrome 46 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,0,1
Progressive Hepatic Syndrome 47,Progressive Hepatic Syndrome 47 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,2,0
Congenital Hepatic Syndrome 48,Congenital Hepatic Syndrome 48 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,1,3
Inflammatory Hepatic Syndrome 49,Inflammatory Hepatic Syndrome 49 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,0,2
Metabolic Hepatic Syndrome 50,Metabolic Hepatic Syndrome 50 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,2,1
Acute Endocrine Syndrome 51,Acute Endocrine Syndrome 51 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,1,0
Chronic Endocrine Syndrome 52,Chronic Endocrine Syndrome 52 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,0,3
Autoimmune Endocrine Syndrome 53,Autoimmune Endocrine Syndrome 53 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,2,2
Idiopathic Endocrine Syndrome 54,Idiopathic Endocrine Syndrome 54 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,1,1
Primary Endocrine Syndrome 55,Primary Endocrine Syndrome 55 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,0,0
Secondary Endocrine Syndrome 56,Secondary Endocrine Syndrome 56 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,2,3
Progressive Endocrine Syndrome 57,Progressive Endocrine Syndrome 57 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,1,2
Congenital Endocrine Syndrome 58,Congenital Endocrine Syndrome 58 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,0,1
Inflammatory Endocrine Syndrome 59,Inflammatory Endocrine Syndrome 59 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,2,0
Metabolic Endocrine Syndrome 60,Metabolic Endocrine Syndrome 60 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,1,3
Acute Gastro Syndrome 61,Acute Gastro Syndrome 61 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,0,2
Chronic Gastro Syndrome 62,Chronic Gastro Syndrome 62 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,2,1
Autoimmune Gastro Syndrome 63,Autoimmune Gastro Syndrome 63 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,1,0
Idiopathic Gastro Syndrome 64,Idiopathic Gastro Syndrome 64 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,0,3
Primary Gastro Syndrome 65,Primary Gastro Syndrome 65 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,2,2
Secondary Gastro Syndrome 66,Secondary Gastro Syndrome 66 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,1,1
Progressive Gastro Syndrome 67,Progressive Gastro Syndrome 67 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,0,0
Congenital Gastro Syndrome 68,Congenital Gastro Syndrome 68 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,2,3
Inflammatory Gastro Syndrome 69,Inflammatory Gastro Syndrome 69 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,1,2
Metabolic Gastro Syndrome 70,Metabolic Gastro Syndrome 70 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,0,1
Acute Dermatologic Syndrome 71,Acute Dermatologic Syndrome 71 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,2,0
Chronic Dermatologic Syndrome 72,Chronic Dermatologic Syndrome 72 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,1,3
Autoimmune Dermatologic Syndrome 73,Autoimmune Dermatologic Syndrome 73 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,0,2
Idiopathic Dermatologic Syndrome 74,Idiopathic Dermatologic Syndrome 74 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,2,1
Primary Dermatologic Syndrome 75,Primary Dermatologic Syndrome 75 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,1,0
Secondary Dermatologic Syndrome 76,Secondary Dermatologic Syndrome 76 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,0,3
Progressive Dermatologic Syndrome 77,Progressive Dermatologic Syndrome 77 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,2,2
Congenital Dermatologic Syndrome 78,Congenital Dermatologic Syndrome 78 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,1,1
Inflammatory Dermatologic Syndrome 79,Inflammatory Dermatologic Syndrome 79 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,0,0
Metabolic Dermatologic Syndrome 80,Metabolic Dermatologic Syndrome 80 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,2,3
Acute Hematologic Syndrome 81,Acute Hematologic Syndrome 81 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,1,2
Chronic Hematologic Syndrome 82,Chronic Hematologic Syndrome 82 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,0,1
Autoimmune Hematologic Syndrome 83,Autoimmune Hematologic Syndrome 83 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,2,0
Idiopathic Hematologic Syndrome 84,Idiopathic Hematologic Syndrome 84 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,1,3
Primary Hematologic Syndrome 85,Primary Hematologic Syndrome 85 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,0,2
Secondary Hematologic Syndrome 86,Secondary Hematologic Syndrome 86 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,2,1
Progressive Hematologic Syndrome 87,Progressive Hematologic Syndrome 87 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,1,0
Congenital Hematologic Syndrome 88,Congenital Hematologic Syndrome 88 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,0,3
Inflammatory Hematologic Syndrome 89,Inflammatory Hematologic Syndrome 89 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,2,2
Metabolic Hematologic Syndrome 90,Metabolic Hematologic Syndrome 90 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,1,1
Acute Musculoskeletal Syndrome 91,Acute Musculoskeletal Syndrome 91 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,0,0
Chronic Musculoskeletal Syndrome 92,Chronic Musculoskeletal Syndrome 92 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,2,3
Autoimmune Musculoskeletal Syndrome 93,Autoimmune Musculoskeletal Syndrome 93 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,1,2
Idiopathic Musculoskeletal Syndrome 94,Idiopathic Musculoskeletal Syndrome 94 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,0,1
Primary Musculoskeletal Syndrome 95,Primary Musculoskeletal Syndrome 95 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,2,0
Secondary Musculoskeletal Syndrome 96,Secondary Musculoskeletal Syndrome 96 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,1,3
Progressive Musculoskeletal Syndrome 97,Progressive Musculoskeletal Syndrome 97 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,0,2
Congenital Musculoskeletal Syndrome 98,Congenital Musculoskeletal Syndrome 98 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,2,1
Inflammatory Musculoskeletal Syndrome 99,Inflammatory Musculoskeletal Syndrome 99 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,1,0
Metabolic Musculoskeletal Syndrome 100,Metabolic Musculoskeletal Syndrome 100 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,0,3
Acute Respiratory Disorder 101,Acute Respiratory Disorder 101 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,2,2
Chronic Respiratory Disorder 102,Chronic Respiratory Disorder 102 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,1,1
Autoimmune Respiratory Disorder 103,Autoimmune Respiratory Disorder 103 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,0,0
Idiopathic Respiratory Disorder 104,Idiopathic Respiratory Disorder 104 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,2,3
Primary Respiratory Disorder 105,Primary Respiratory Disorder 105 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,1,2
Secondary Respiratory Disorder 106,Secondary Respiratory Disorder 106 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,0,1
Progressive Respiratory Disorder 107,Progressive Respiratory Disorder 107 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,2,0
Congenital Respiratory Disorder 108,Congenital Respiratory Disorder 108 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,1,3
Inflammatory Respiratory Disorder 109,Inflammatory Respiratory Disorder 109 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,0,2
Metabolic Respiratory Disorder 110,Metabolic Respiratory Disorder 110 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,2,1
Acute Cardiac Disorder 111,Acute Cardiac Disorder 111 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,1,0
Chronic Cardiac Disorder 112,Chronic Cardiac Disorder 112 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,0,3
Autoimmune Cardiac Disorder 113,Autoimmune Cardiac Disorder 113 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,2,2
Idiopathic Cardiac Disorder 114,Idiopathic Cardiac Disorder 114 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,1,1
Primary Cardiac Disorder 115,Primary Cardiac Disorder 115 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,0,0
Secondary Cardiac Disorder 116,Secondary Cardiac Disorder 116 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,2,3
Progressive Cardiac Disorder 117,Progressive Cardiac Disorder 117 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,1,2
Congenital Cardiac Disorder 118,Congenital Cardiac Disorder 118 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,0,1
Inflammatory Cardiac Disorder 119,Inflammatory Cardiac Disorder 119 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,2,0
Metabolic Cardiac Disorder 120,Metabolic Cardiac Disorder 120 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,1,3
Acute Neurological Disorder 121,Acute Neurological Disorder 121 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,0,2
Chronic Neurological Disorder 122,Chronic Neurological Disorder 122 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,2,1
Autoimmune Neurological Disorder 123,Autoimmune Neurological Disorder 123 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,1,0
Idiopathic Neurological Disorder 124,Idiopathic Neurological Disorder 124 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,0,3
Primary Neurological Disorder 125,Primary Neurological Disorder 125 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,2,2
Secondary Neurological Disorder 126,Secondary Neurological Disorder 126 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,1,1
Progressive Neurological Disorder 127,Progressive Neurological Disorder 127 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,0,0
Congenital Neurological Disorder 128,Congenital Neurological Disorder 128 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,2,3
Inflammatory Neurological Disorder 129,Inflammatory Neurological Disorder 129 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,1,2
Metabolic Neurological Disorder 130,Metabolic Neurological Disorder 130 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,0,1
Acute Renal Disorder 131,Acute Renal Disorder 131 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,2,0
Chronic Renal Disorder 132,Chronic Renal Disorder 132 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,1,3
Autoimmune Renal Disorder 133,Autoimmune Renal Disorder 133 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,0,2
Idiopathic Renal Disorder 134,Idiopathic Renal Disorder 134 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,2,1
Primary Renal Disorder 135,Primary Renal Disorder 135 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,1,0
Secondary Renal Disorder 136,Secondary Renal Disorder 136 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,0,3
Progressive Renal Disorder 137,Progressive Renal Disorder 137 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,2,2
Congenital Renal Disorder 138,Congenital Renal Disorder 138 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,1,1
Inflammatory Renal Disorder 139,Inflammatory Renal Disorder 139 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,0,0
Metabolic Renal Disorder 140,Metabolic Renal Disorder 140 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,2,3
Acute Hepatic Disorder 141,Acute Hepatic Disorder 141 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,1,2
Chronic Hepatic Disorder 142,Chronic Hepatic Disorder 142 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,0,1
Autoimmune Hepatic Disorder 143,Autoimmune Hepatic Disorder 143 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,2,0
Idiopathic Hepatic Disorder 144,Idiopathic Hepatic Disorder 144 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,1,3
Primary Hepatic Disorder 145,Primary Hepatic Disorder 145 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,0,2
Secondary Hepatic Disorder 146,Secondary Hepatic Disorder 146 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,2,1
Progressive Hepatic Disorder 147,Progressive Hepatic Disorder 147 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,1,0
Congenital Hepatic Disorder 148,Congenital Hepatic Disorder 148 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,0,3
Inflammatory Hepatic Disorder 149,Inflammatory Hepatic Disorder 149 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,2,2
Metabolic Hepatic Disorder 150,Metabolic Hepatic Disorder 150 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,1,1
Acute Endocrine Disorder 151,Acute Endocrine Disorder 151 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,0,0
Chronic Endocrine Disorder 152,Chronic Endocrine Disorder 152 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,2,3
Autoimmune Endocrine Disorder 153,Autoimmune Endocrine Disorder 153 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,1,2
Idiopathic Endocrine Disorder 154,Idiopathic Endocrine Disorder 154 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,0,1
Primary Endocrine Disorder 155,Primary Endocrine Disorder 155 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,2,0
Secondary Endocrine Disorder 156,Secondary Endocrine Disorder 156 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,1,3
Progressive Endocrine Disorder 157,Progressive Endocrine Disorder 157 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,0,2
