drug,disease,dosage,side_effects,contraindications,drug_category,general_precaution,administration_route,population_group,risk_level,disclaimer
199,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2
401,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2
451,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2
350,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2
52,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2
3,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2
248,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2
140,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2
338,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2
189,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2
238,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2
440,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2
490,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2
389,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2
91,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2
42,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2
287,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2
131,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2
329,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2
180,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2
229,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2
431,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2
481,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2
380,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2
82,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2
33,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2
278,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2
126,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
324,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
175,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
224,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
426,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
476,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
375,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
77,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
28,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
273,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
111,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
309,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
160,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
209,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
411,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
461,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
360,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
62,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
13,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
258,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
121,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
319,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
170,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
219,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
421,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
471,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
370,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2
72,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2
23,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2
268,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2
136,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2
334,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2
185,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2
234,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2
436,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2
486,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2
385,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2
87,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2
38,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2
283,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2
146,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2
344,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2
195,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2
244,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2
446,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2
496,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2
395,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2
97,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2
48,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2
293,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2
117,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2
315,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2
166,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2
215,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2
417,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2
467,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2
366,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2
68,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2
19,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2
264,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2
107,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
305,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
156,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
205,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
407,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
457,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
356,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
58,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
9,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
254,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
102,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
300,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
151,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
200,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
402,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
452,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
351,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
53,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
4,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
249,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
141,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
339,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
190,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
239,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
441,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
491,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
390,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2
92,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2
43,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2
288,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2
132,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2
330,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2
181,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2
230,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2
432,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2
482,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2
381,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2
83,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2
34,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2
279,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2
127,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2
325,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2
176,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2
225,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2
427,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2
477,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2
376,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2
78,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2
29,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2
274,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2
112,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2
310,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2
161,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2
210,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2
412,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2
462,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2
361,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2
63,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2
14,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2
259,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2
122,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
320,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
171,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
220,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
422,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
472,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
371,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
73,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
24,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
269,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
137,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
335,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
186,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
235,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
437,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
487,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
386,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
88,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
39,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
284,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
147,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
345,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
196,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
245,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
447,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
497,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
396,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2
98,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2
49,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2
294,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2
118,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2
316,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2
167,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2
216,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2
418,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2
468,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2
367,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2
69,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2
20,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2
265,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2
108,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2
306,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2
157,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2
206,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2
408,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2
458,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2
357,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2
59,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2
10,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2
255,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2
103,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2
301,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2
152,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2
201,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2
403,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2
453,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2
352,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2
54,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2
5,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2
250,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2
142,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
340,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
191,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
240,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
442,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
492,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
391,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
93,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
44,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
289,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
133,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
331,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
182,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
231,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
433,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
483,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
382,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
84,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
35,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
280,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
128,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
326,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
177,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
226,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
428,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
478,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
377,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2
79,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2
30,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2
275,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2
113,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2
311,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2
162,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2
211,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2
413,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2
463,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2
362,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2
64,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2
15,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2
260,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2
123,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2
321,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2
172,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2
221,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2
423,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2
473,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2
372,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2
74,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2
25,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2
270,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2
138,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2
336,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2
187,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2
236,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2
438,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2
488,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2
387,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2
89,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2
40,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2
285,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2
148,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
346,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
197,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
246,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
448,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
498,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
397,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
99,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
50,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
295,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
119,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
317,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
168,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
217,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
419,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
469,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
368,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
70,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
21,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
266,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
109,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
307,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
158,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
207,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
409,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
459,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
358,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2
60,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2
11,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2
256,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2
104,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2
302,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2
153,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2
202,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2
404,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2
454,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2
353,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2
55,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2
6,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2
251,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2
143,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2
341,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2
192,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2
241,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2
443,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2
493,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2
392,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2
94,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2
45,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2
290,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2
134,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2
332,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2
183,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2
232,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2
434,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2
484,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2
383,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2
85,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2
36,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2
281,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2
129,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
327,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
178,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
227,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
429,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
479,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
378,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
80,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
31,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
276,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
114,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
312,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
163,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
212,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
414,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
464,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
363,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
65,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
16,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
261,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
124,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
322,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
173,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
222,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
424,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
474,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
