Drug,Disease,Dosage,Side_Effects,Contraindications,Drug_Category,General_Precaution,Administration_Route,Population_Group,Risk_Level,Disclaimer
Levostatin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxystatin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Flustatin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosistatin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Telistatin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metostatin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carvestatin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopstatin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabastatin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Cefsartan,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levosartan,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxysartan,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Flusartan,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosisartan,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Telisartan,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Metosartan,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Carvesartan,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Bisopsartan,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Gabasartan,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Cefprolol,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Levoprolol,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Doxyprolol,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Fluprolol,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Rosiprolol,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Teliprolol,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Metoprolol,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Carveprolol,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Bisopprolol,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Gabaprolol,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Cefdipine,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levodipine,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxydipine,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Fludipine,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosidipine,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Telidipine,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metodipine,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carvedipine,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopdipine,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabadipine,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefpentin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levopentin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxypentin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Flupentin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosipentin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telipentin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metopentin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvepentin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisoppentin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabapentin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Cefsetron,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Levosetron,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Doxysetron,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Flusetron,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Rosisetron,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Telisetron,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Metosetron,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Carvesetron,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Bisopsetron,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Gabasetron,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Cefxime1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Levoxime1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxyxime1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Fluxime1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosixime1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Telixime1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metoxime1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carvexime1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopxime1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabaxime1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Ceffloxacin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levofloxacin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxyfloxacin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Flufloxacin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosifloxacin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Telifloxacin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Metofloxacin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Carvefloxacin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Bisopfloxacin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Gabafloxacin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Cefcycline1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Levocycline1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Doxycycline1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Flucycline1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Rosicycline1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Telicycline1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Metocycline1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Carvecycline1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Bisopcycline1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Gabacycline1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Cefconazole1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levoconazole1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxyconazole1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Fluconazole1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosiconazole1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Teliconazole1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metoconazole1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carveconazole1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopconazole1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabaconazole1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefstatin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levostatin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxystatin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Flustatin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosistatin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telistatin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metostatin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvestatin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisopstatin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabastatin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Cefsartan1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Levosartan1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Doxysartan1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Flusartan1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Rosisartan1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Telisartan1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Metosartan1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Carvesartan1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Bisopsartan1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Gabasartan1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Cefprolol1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Levoprolol1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxyprolol1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Fluprolol1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosiprolol1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Teliprolol1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metoprolol1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carveprolol1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopprolol1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabaprolol1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Cefdipine1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levodipine1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxydipine1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Fludipine1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosidipine1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Telidipine1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Metodipine1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Carvedipine1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Bisopdipine1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Gabadipine1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Cefpentin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Levopentin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Doxypentin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Flupentin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Rosipentin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Telipentin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Metopentin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Carvepentin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Bisoppentin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Gabapentin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Cefsetron1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levosetron1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxysetron1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Flusetron1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosisetron1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Telisetron1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metosetron1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carvesetron1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopsetron1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabasetron1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefxime2,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levoxime2,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxyxime2,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Fluxime2,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosixime2,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telixime2,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metoxime2,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvexime2,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisopxime2,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabaxime2,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Ceffloxacin2,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Levofloxacin2,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Doxyfloxacin2,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Flufloxacin2,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Rosifloxacin2,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Telifloxacin2,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
