risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
42,Hypertension,3,0,3,Immediate Attention
42,Hypertension,4,1,2,Preventive
42,Stroke,1,0,1,Moderate Monitoring
42,Stroke,2,1,0,High Monitoring
42,Stroke,3,0,3,Immediate Attention
42,Stroke,4,1,2,Preventive
42,Kidney Disease,1,0,1,Moderate Monitoring
42,Kidney Disease,2,1,0,High Monitoring
42,Kidney Disease,3,0,3,Immediate Attention
42,Kidney Disease,4,1,2,Preventive
42,Liver Disease,1,0,1,Moderate Monitoring
42,Liver Disease,2,1,0,High Monitoring
42,Liver Disease,3,0,3,Immediate Attention
42,Liver Disease,4,1,2,Preventive
42,Respiratory Disorder,1,0,1,Moderate Monitoring
42,Respiratory Disorder,2,1,0,High Monitoring
42,Respiratory Disorder,3,0,3,Immediate Attention
42,Respiratory Disorder,4,1,2,Preventive
42,Cancer,1,0,1,Moderate Monitoring
42,Cancer,2,1,0,High Monitoring
42,Cancer,3,0,3,Immediate Attention
42,Cancer,4,1,2,Preventive
42,Obesity,1,0,1,Moderate Monitoring
42,Obesity,2,1,0,High Monitoring
42,Obesity,3,0,3,Immediate Attention
42,Obesity,4,1,2,Preventive
42,Depression,1,0,1,Moderate Monitoring
42,Depression,2,1,0,High Monitoring
42,Depression,3,0,3,Immediate Attention
42,Depression,4,1,2,Preventive
42,Anxiety,1,0,1,Moderate Monitoring
42,Anxiety,2,1,0,High Monitoring
42,Anxiety,3,0,3,Immediate Attention
42,Anxiety,4,1,2,Preventive
42,Infection Risk,1,0,1,Moderate Monitoring
42,Infection Risk,2,1,0,High Monitoring
42,Infection Risk,3,0,3,Immediate Attention
42,Infection Risk,4,1,2,Preventive
42,Metabolic Disorder,1,0,1,Moderate Monitoring
42,Metabolic Disorder,2,1,0,High Monitoring
42,Metabolic Disorder,3,0,3,Immediate Attention
42,Metabolic Disorder,4,1,2,Preventive
42,Autoimmune Disease,1,0,1,Moderate Monitoring
42,Autoimmune Disease,2,1,0,High Monitoring
42,Autoimmune Disease,3,0,3,Immediate Attention
42,Autoimmune Disease,4,1,2,Preventive
42,Hormonal Disorder,1,0,1,Moderate Monitoring
42,Hormonal Disorder,2,1,0,High Monitoring
42,Hormonal Disorder,3,0,3,Immediate Attention
42,Hormonal Disorder,4,1,2,Preventive
3,Heart Disease,1,0,1,Moderate Monitoring
3,Heart Disease,2,1,0,High Monitoring
3,Heart Disease,3,0,3,Immediate Attention
3,Heart Disease,4,1,2,Preventive
3,Diabetes,1,0,1,Moderate Monitoring
3,Diabetes,2,1,0,High Monitoring
3,Diabetes,3,0,3,Immediate Attention
3,Diabetes,4,1,2,Preventive
3,Hypertension,1,0,1,Moderate Monitoring
3,Hypertension,2,1,0,High Monitoring
3,Hypertension,3,0,3,Immediate Attention
3,Hypertension,4,1,2,Preventive
3,Stroke,1,0,1,Moderate Monitoring
3,Stroke,2,1,0,High Monitoring
3,Stroke,3,0,3,Immediate Attention
3,Stroke,4,1,2,Preventive
3,Kidney Disease,1,0,1,Moderate Monitoring
3,Kidney Disease,2,1,0,High Monitoring
3,Kidney Disease,3,0,3,Immediate Attention
3,Kidney Disease,4,1,2,Preventive
3,Liver Disease,1,0,1,Moderate Monitoring
3,Liver Disease,2,1,0,High Monitoring
3,Liver Disease,3,0,3,Immediate Attention
3,Liver Disease,4,1,2,Preventive
3,Respiratory Disorder,1,0,1,Moderate Monitoring
3,Respiratory Disorder,2,1,0,High Monitoring
3,Respiratory Disorder,3,0,3,Immediate Attention
3,Respiratory Disorder,4,1,2,Preventive
3,Cancer,1,0,1,Moderate Monitoring
3,Cancer,2,1,0,High Monitoring
3,Cancer,3,0,3,Immediate Attention
3,Cancer,4,1,2,Preventive
3,Obesity,1,0,1,Moderate Monitoring
3,Obesity,2,1,0,High Monitoring
3,Obesity,3,0,3,Immediate Attention
3,Obesity,4,1,2,Preventive
3,Depression,1,0,1,Moderate Monitoring
3,Depression,2,1,0,High Monitoring
3,Depression,3,0,3,Immediate Attention
3,Depression,4,1,2,Preventive
3,Anxiety,1,0,1,Moderate Monitoring
3,Anxiety,2,1,0,High Monitoring
3,Anxiety,3,0,3,Immediate Attention
3,Anxiety,4,1,2,Preventive
3,Infection Risk,1,0,1,Moderate Monitoring
3,Infection Risk,2,1,0,High Monitoring
3,Infection Risk,3,0,3,Immediate Attention
3,Infection Risk,4,1,2,Preventive
3,Metabolic Disorder,1,0,1,Moderate Monitoring
3,Metabolic Disorder,2,1,0,High Monitoring
3,Metabolic Disorder,3,0,3,Immediate Attention
3,Metabolic Disorder,4,1,2,Preventive
3,Autoimmune Disease,1,0,1,Moderate Monitoring
3,Autoimmune Disease,2,1,0,High Monitoring
3,Autoimmune Disease,3,0,3,Immediate Attention
3,Autoimmune Disease,4,1,2,Preventive
3,Hormonal Disorder,1,0,1,Moderate Monitoring
3,Hormonal Disorder,2,1,0,High Monitoring
3,Hormonal Disorder,3,0,3,Immediate Attention
3,Hormonal Disorder,4,1,2,Preventive
30,Heart Disease,1,0,1,Moderate Monitoring
30,Heart Disease,2,1,0,High Monitoring
30,Heart Disease,3,0,3,Immediate Attention
30,Heart Disease,4,1,2,Preventive
30,Diabetes,1,0,1,Moderate Monitoring
30,Diabetes,2,1,0,High Monitoring
30,Diabetes,3,0,3,Immediate Attention
30,Diabetes,4,1,2,Preventive
30,Hypertension,1,0,1,Moderate Monitoring
30,Hypertension,2,1,0,High Monitoring
30,Hypertension,3,0,3,Immediate Attention
30,Hypertension,4,1,2,Preventive
30,Stroke,1,0,1,Moderate Monitoring
30,Stroke,2,1,0,High Monitoring
30,Stroke,3,0,3,Immediate Attention
30,Stroke,4,1,2,Preventive
30,Kidney Disease,1,0,1,Moderate Monitoring
30,Kidney Disease,2,1,0,High Monitoring
30,Kidney Disease,3,0,3,Immediate Attention
30,Kidney Disease,4,1,2,Preventive
30,Liver Disease,1,0,1,Moderate Monitoring
30,Liver Disease,2,1,0,High Monitoring
30,Liver Disease,3,0,3,Immediate Attention
30,Liver Disease,4,1,2,Preventive
30,Respiratory Disorder,1,0,1,Moderate Monitoring
30,Respiratory Disorder,2,1,0,High Monitoring
30,Respiratory Disorder,3,0,3,Immediate Attention
30,Respiratory Disorder,4,1,2,Preventive
30,Cancer,1,0,1,Moderate Monitoring
30,Cancer,2,1,0,High Monitoring
30,Cancer,3,0,3,Immediate Attention
30,Cancer,4,1,2,Preventive
30,Obesity,1,0,1,Moderate Monitoring
30,Obesity,2,1,0,High Monitoring
30,Obesity,3,0,3,Immediate Attention
30,Obesity,4,1,2,Preventive
30,Depression,1,0,1,Moderate Monitoring
30,Depression,2,1,0,High Monitoring
30,Depression,3,0,3,Immediate Attention
30,Depression,4,1,2,Preventive
30,Anxiety,1,0,1,Moderate Monitoring
30,Anxiety,2,1,0,High Monitoring
30,Anxiety,3,0,3,Immediate Attention
30,Anxiety,4,1,2,Preventive
30,Infection Risk,1,0,1,Moderate Monitoring
30,Infection Risk,2,1,0,High Monitoring
30,Infection Risk,3,0,3,Immediate Attention
30,Infection Risk,4,1,2,Preventive
30,Metabolic Disorder,1,0,1,Moderate Monitoring
30,Metabolic Disorder,2,1,0,High Monitoring
30,Metabolic Disorder,3,0,3,Immediate Attention
30,Metabolic Disorder,4,1,2,Preventive
30,Autoimmune Disease,1,0,1,Moderate Monitoring
30,Autoimmune Disease,2,1,0,High Monitoring
30,Autoimmune Disease,3,0,3,Immediate Attention
30,Autoimmune Disease,4,1,2,Preventive
30,Hormonal Disorder,1,0,1,Moderate Monitoring
30,Hormonal Disorder,2,1,0,High Monitoring
30,Hormonal Disorder,3,0,3,Immediate Attention
30,Hormonal Disorder,4,1,2,Preventive
40,Heart Disease,1,0,1,Moderate Monitoring
40,Heart Disease,2,1,0,High Monitoring
40,Heart Disease,3,0,3,Immediate Attention
40,Heart Disease,4,1,2,Preventive
40,Diabetes,1,0,1,Moderate Monitoring
40,Diabetes,2,1,0,High Monitoring
40,Diabetes,3,0,3,Immediate Attention
40,Diabetes,4,1,2,Preventive
40,Hypertension,1,0,1,Moderate Monitoring
40,Hypertension,2,1,0,High Monitoring
40,Hypertension,3,0,3,Immediate Attention
40,Hypertension,4,1,2,Preventive
40,Stroke,1,0,1,Moderate Monitoring
40,Stroke,2,1,0,High Monitoring
40,Stroke,3,0,3,Immediate Attention
40,Stroke,4,1,2,Preventive
40,Kidney Disease,1,0,1,Moderate Monitoring
40,Kidney Disease,2,1,0,High Monitoring
40,Kidney Disease,3,0,3,Immediate Attention
40,Kidney Disease,4,1,2,Preventive
40,Liver Disease,1,0,1,Moderate Monitoring
40,Liver Disease,2,1,0,High Monitoring
40,Liver Disease,3,0,3,Immediate Attention
40,Liver Disease,4,1,2,Preventive
40,Respiratory Disorder,1,0,1,Moderate Monitoring
40,Respiratory Disorder,2,1,0,High Monitoring
40,Respiratory Disorder,3,0,3,Immediate Attention
40,Respiratory Disorder,4,1,2,Preventive
40,Cancer,1,0,1,Moderate Monitoring
40,Cancer,2,1,0,High Monitoring
40,Cancer,3,0,3,Immediate Attention
40,Cancer,4,1,2,Preventive
40,Obesity,1,0,1,Moderate Monitoring
40,Obesity,2,1,0,High Monitoring
40,Obesity,3,0,3,Immediate Attention
40,Obesity,4,1,2,Preventive
40,Depression,1,0,1,Moderate Monitoring
40,Depression,2,1,0,High Monitoring
40,Depression,3,0,3,Immediate Attention
40,Depression,4,1,2,Preventive
40,Anxiety,1,0,1,Moderate Monitoring
40,Anxiety,2,1,0,High Monitoring
40,Anxiety,3,0,3,Immediate Attention
40,Anxiety,4,1,2,Preventive
40,Infection Risk,1,0,1,Moderate Monitoring
40,Infection Risk,2,1,0,High Monitoring
40,Infection Risk,3,0,3,Immediate Attention
40,Infection Risk,4,1,2,Preventive
40,Metabolic Disorder,1,0,1,Moderate Monitoring
40,Metabolic Disorder,2,1,0,High Monitoring
40,Metabolic Disorder,3,0,3,Immediate Attention
40,Metabolic Disorder,4,1,2,Preventive
40,Autoimmune Disease,1,0,1,Moderate Monitoring
40,Autoimmune Disease,2,1,0,High Monitoring
40,Autoimmune Disease,3,0,3,Immediate Attention
40,Autoimmune Disease,4,1,2,Preventive
40,Hormonal Disorder,1,0,1,Moderate Monitoring
40,Hormonal Disorder,2,1,0,High Monitoring
40,Hormonal Disorder,3,0,3,Immediate Attention
40,Hormonal Disorder,4,1,2,Preventive
17,Heart Disease,1,0,1,Moderate Monitoring
17,Heart Disease,2,1,0,High Monitoring
17,Heart Disease,3,0,3,Immediate Attention
17,Heart Disease,4,1,2,Preventive
17,Diabetes,1,0,1,Moderate Monitoring
17,Diabetes,2,1,0,High Monitoring
17,Diabetes,3,0,3,Immediate Attention
17,Diabetes,4,1,2,Preventive
17,Hypertension,1,0,1,Moderate Monitoring
17,Hypertension,2,1,0,High Monitoring
17,Hypertension,3,0,3,Immediate Attention
17,Hypertension,4,1,2,Preventive
17,Stroke,1,0,1,Moderate Monitoring
17,Stroke,2,1,0,High Monitoring
17,Stroke,3,0,3,Immediate Attention
17,Stroke,4,1,2,Preventive
17,Kidney Disease,1,0,1,Moderate Monitoring
17,Kidney Disease,2,1,0,High Monitoring
17,Kidney Disease,3,0,3,Immediate Attention
17,Kidney Disease,4,1,2,Preventive
17,Liver Disease,1,0,1,Moderate Monitoring
17,Liver Disease,2,1,0,High Monitoring
17,Liver Disease,3,0,3,Immediate Attention
17,Liver Disease,4,1,2,Preventive
17,Respiratory Disorder,1,0,1,Moderate Monitoring
17,Respiratory Disorder,2,1,0,High Monitoring
17,Respiratory Disorder,3,0,3,Immediate Attention
17,Respiratory Disorder,4,1,2,Preventive
17,Cancer,1,0,1,Moderate Monitoring
17,Cancer,2,1,0,High Monitoring
17,Cancer,3,0,3,Immediate Attention
17,Cancer,4,1,2,Preventive
17,Obesity,1,0,1,Moderate Monitoring
17,Obesity,2,1,0,High Monitoring
17,Obesity,3,0,3,Immediate Attention
17,Obesity,4,1,2,Preventive
17,Depression,1,0,1,Moderate Monitoring
17,Depression,2,1,0,High Monitoring
17,Depression,3,0,3,Immediate Attention
17,Depression,4,1,2,Preventive
17,Anxiety,1,0,1,Moderate Monitoring
17,Anxiety,2,1,0,High Monitoring
17,Anxiety,3,0,3,Immediate Attention
17,Anxiety,4,1,2,Preventive
17,Infection Risk,1,0,1,Moderate Monitoring
17,Infection Risk,2,1,0,High Monitoring
17,Infection Risk,3,0,3,Immediate Attention
17,Infection Risk,4,1,2,Preventive
17,Metabolic Disorder,1,0,1,Moderate Monitoring
17,Metabolic Disorder,2,1,0,High Monitoring
17,Metabolic Disorder,3,0,3,Immediate Attention
17,Metabolic Disorder,4,1,2,Preventive
17,Autoimmune Disease,1,0,1,Moderate Monitoring
17,Autoimmune Disease,2,1,0,High Monitoring
17,Autoimmune Disease,3,0,3,Immediate Attention
17,Autoimmune Disease,4,1,2,Preventive
17,Hormonal Disorder,1,0,1,Moderate Monitoring
17,Hormonal Disorder,2,1,0,High Monitoring
17,Hormonal Disorder,3,0,3,Immediate Attention
17,Hormonal Disorder,4,1,2,Preventive
22,Heart Disease,1,0,1,Moderate Monitoring
22,Heart Disease,2,1,0,High Monitoring
22,Heart Disease,3,0,3,Immediate Attention
22,Heart Disease,4,1,2,Preventive
22,Diabetes,1,0,1,Moderate Monitoring
22,Diabetes,2,1,0,High Monitoring
22,Diabetes,3,0,3,Immediate Attention
22,Diabetes,4,1,2,Preventive
22,Hypertension,1,0,1,Moderate Monitoring
22,Hypertension,2,1,0,High Monitoring
22,Hypertension,3,0,3,Immediate Attention
22,Hypertension,4,1,2,Preventive
22,Stroke,1,0,1,Moderate Monitoring
22,Stroke,2,1,0,High Monitoring
22,Stroke,3,0,3,Immediate Attention
22,Stroke,4,1,2,Preventive
22,Kidney Disease,1,0,1,Moderate Monitoring
22,Kidney Disease,2,1,0,High Monitoring
22,Kidney Disease,3,0,3,Immediate Attention
22,Kidney Disease,4,1,2,Preventive
22,Liver Disease,1,0,1,Moderate Monitoring
22,Liver Disease,2,1,0,High Monitoring
22,Liver Disease,3,0,3,Immediate Attention
22,Liver Disease,4,1,2,Preventive
22,Respiratory Disorder,1,0,1,Moderate Monitoring
22,Respiratory Disorder,2,1,0,High Monitoring
22,Respiratory Disorder,3,0,3,Immediate Attention
22,Respiratory Disorder,4,1,2,Preventive
22,Cancer,1,0,1,Moderate Monitoring
22,Cancer,2,1,0,High Monitoring
22,Cancer,3,0,3,Immediate Attention
22,Cancer,4,1,2,Preventive
22,Obesity,1,0,1,Moderate Monitoring
22,Obesity,2,1,0,High Monitoring
22,Obesity,3,0,3,Immediate Attention
22,Obesity,4,1,2,Preventive
22,Depression,1,0,1,Moderate Monitoring
22,Depression,2,1,0,High Monitoring
22,Depression,3,0,3,Immediate Attention
22,Depression,4,1,2,Preventive
22,Anxiety,1,0,1,Moderate Monitoring
22,Anxiety,2,1,0,High Monitoring
22,Anxiety,3,0,3,Immediate Attention
22,Anxiety,4,1,2,Preventive
22,Infection Risk,1,0,1,Moderate Monitoring
22,Infection Risk,2,1,0,High Monitoring
22,Infection Risk,3,0,3,Immediate Attention
22,Infection Risk,4,1,2,Preventive
22,Metabolic Disorder,1,0,1,Moderate Monitoring
22,Metabolic Disorder,2,1,0,High Monitoring
22,Metabolic Disorder,3,0,3,Immediate Attention
22,Metabolic Disorder,4,1,2,Preventive
22,Autoimmune Disease,1,0,1,Moderate Monitoring
22,Autoimmune Disease,2,1,0,High Monitoring
22,Autoimmune Disease,3,0,3,Immediate Attention
22,Autoimmune Disease,4,1,2,Preventive
22,Hormonal Disorder,1,0,1,Moderate Monitoring
22,Hormonal Disorder,2,1,0,High Monitoring
22,Hormonal Disorder,3,0,3,Immediate Attention
22,Hormonal Disorder,4,1,2,Preventive
11,Heart Disease,1,0,1,Moderate Monitoring
11,Heart Disease,2,1,0,High Monitoring
11,Heart Disease,3,0,3,Immediate Attention
11,Heart Disease,4,1,2,Preventive
11,Diabetes,1,0,1,Moderate Monitoring
11,Diabetes,2,1,0,High Monitoring
11,Diabetes,3,0,3,Immediate Attention
11,Diabetes,4,1,2,Preventive
11,Hypertension,1,0,1,Moderate Monitoring
11,Hypertension,2,1,0,High Monitoring
11,Hypertension,3,0,3,Immediate Attention
11,Hypertension,4,1,2,Preventive
11,Stroke,1,0,1,Moderate Monitoring
11,Stroke,2,1,0,High Monitoring
11,Stroke,3,0,3,Immediate Attention
11,Stroke,4,1,2,Preventive
11,Kidney Disease,1,0,1,Moderate Monitoring
11,Kidney Disease,2,1,0,High Monitoring
11,Kidney Disease,3,0,3,Immediate Attention
11,Kidney Disease,4,1,2,Preventive
11,Liver Disease,1,0,1,Moderate Monitoring
11,Liver Disease,2,1,0,High Monitoring
11,Liver Disease,3,0,3,Immediate Attention
11,Liver Disease,4,1,2,Preventive
11,Respiratory Disorder,1,0,1,Moderate Monitoring
11,Respiratory Disorder,2,1,0,High Monitoring
11,Respiratory Disorder,3,0,3,Immediate Attention
11,Respiratory Disorder,4,1,2,Preventive
11,Cancer,1,0,1,Moderate Monitoring
11,Cancer,2,1,0,High Monitoring
11,Cancer,3,0,3,Immediate Attention
11,Cancer,4,1,2,Preventive
11,Obesity,1,0,1,Moderate Monitoring
11,Obesity,2,1,0,High Monitoring
11,Obesity,3,0,3,Immediate Attention
11,Obesity,4,1,2,Preventive
11,Depression,1,0,1,Moderate Monitoring
11,Depression,2,1,0,High Monitoring
11,Depression,3,0,3,Immediate Attention
11,Depression,4,1,2,Preventive
11,Anxiety,1,0,1,Moderate Monitoring
11,Anxiety,2,1,0,High Monitoring
11,Anxiety,3,0,3,Immediate Attention
11,Anxiety,4,1,2,Preventive
11,Infection Risk,1,0,1,Moderate Monitoring
11,Infection Risk,2,1,0,High Monitoring
11,Infection Risk,3,0,3,Immediate Attention
11,Infection Risk,4,1,2,Preventive
11,Metabolic Disorder,1,0,1,Moderate Monitoring
11,Metabolic Disorder,2,1,0,High Monitoring
11,Metabolic Disorder,3,0,3,Immediate Attention
11,Metabolic Disorder,4,1,2,Preventive
11,Autoimmune Disease,1,0,1,Moderate Monitoring
11,Autoimmune Disease,2,1,0,High Monitoring
11,Autoimmune Disease,3,0,3,Immediate Attention
11,Autoimmune Disease,4,1,2,Preventive
11,Hormonal Disorder,1,0,1,Moderate Monitoring
11,Hormonal Disorder,2,1,0,High Monitoring
11,Hormonal Disorder,3,0,3,Immediate Attention
11,Hormonal Disorder,4,1,2,Preventive
14,Heart Disease,1,0,1,Moderate Monitoring
14,Heart Disease,2,1,0,High Monitoring
14,Heart Disease,3,0,3,Immediate Attention
14,Heart Disease,4,1,2,Preventive
14,Diabetes,1,0,1,Moderate Monitoring
14,Diabetes,2,1,0,High Monitoring
14,Diabetes,3,0,3,Immediate Attention
14,Diabetes,4,1,2,Preventive
14,Hypertension,1,0,1,Moderate Monitoring
14,Hypertension,2,1,0,High Monitoring
14,Hypertension,3,0,3,Immediate Attention
14,Hypertension,4,1,2,Preventive
14,Stroke,1,0,1,Moderate Monitoring
14,Stroke,2,1,0,High Monitoring
14,Stroke,3,0,3,Immediate Attention
14,Stroke,4,1,2,Preventive
14,Kidney Disease,1,0,1,Moderate Monitoring
14,Kidney Disease,2,1,0,High Monitoring
14,Kidney Disease,3,0,3,Immediate Attention
14,Kidney Disease,4,1,2,Preventive
14,Liver Disease,1,0,1,Moderate Monitoring
14,Liver Disease,2,1,0,High Monitoring
14,Liver Disease,3,0,3,Immediate Attention
14,Liver Disease,4,1,2,Preventive
14,Respiratory Disorder,1,0,1,Moderate Monitoring
14,Respiratory Disorder,2,1,0,High Monitoring
14,Respiratory Disorder,3,0,3,Immediate Attention
14,Respiratory Disorder,4,1,2,Preventive
14,Cancer,1,0,1,Moderate Monitoring
14,Cancer,2,1,0,High Monitoring
14,Cancer,3,0,3,Immediate Attention
14,Cancer,4,1,2,Preventive
14,Obesity,1,0,1,Moderate Monitoring
14,Obesity,2,1,0,High Monitoring
14,Obesity,3,0,3,Immediate Attention
14,Obesity,4,1,2,Preventive
14,Depression,1,0,1,Moderate Monitoring
14,Depression,2,1,0,High Monitoring
14,Depression,3,0,3,Immediate Attention
14,Depression,4,1,2,Preventive
14,Anxiety,1,0,1,Moderate Monitoring
14,Anxiety,2,1,0,High Monitoring
14,Anxiety,3,0,3,Immediate Attention
14,Anxiety,4,1,2,Preventive
14,Infection Risk,1,0,1,Moderate Monitoring
14,Infection Risk,2,1,0,High Monitoring
14,Infection Risk,3,0,3,Immediate Attention
14,Infection Risk,4,1,2,Preventive
14,Metabolic Disorder,1,0,1,Moderate Monitoring
14,Metabolic Disorder,2,1,0,High Monitoring
14,Metabolic Disorder,3,0,3,Immediate Attention
14,Metabolic Disorder,4,1,2,Preventive
14,Autoimmune Disease,1,0,1,Moderate Monitoring
14,Autoimmune Disease,2,1,0,High Monitoring
14,Autoimmune Disease,3,0,3,Immediate Attention
14,Autoimmune Disease,4,1,2,Preventive
14,Hormonal Disorder,1,0,1,Moderate Monitoring
14,Hormonal Disorder,2,1,0,High Monitoring
14,Hormonal Disorder,3,0,3,Immediate Attention
14,Hormonal Disorder,4,1,2,Preventive
15,Heart Disease,1,0,1,Moderate Monitoring
15,Heart Disease,2,1,0,High Monitoring
15,Heart Disease,3,0,3,Immediate Attention
15,Heart Disease,4,1,2,Preventive
15,Diabetes,1,0,1,Moderate Monitoring
15,Diabetes,2,1,0,High Monitoring
15,Diabetes,3,0,3,Immediate Attention
15,Diabetes,4,1,2,Preventive
15,Hypertension,1,0,1,Moderate Monitoring
15,Hypertension,2,1,0,High Monitoring
15,Hypertension,3,0,3,Immediate Attention
15,Hypertension,4,1,2,Preventive
15,Stroke,1,0,1,Moderate Monitoring
15,Stroke,2,1,0,High Monitoring
15,Stroke,3,0,3,Immediate Attention
15,Stroke,4,1,2,Preventive
15,Kidney Disease,1,0,1,Moderate Monitoring
15,Kidney Disease,2,1,0,High Monitoring
