disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
Gastroenteritis,28,38,17,19,12,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Allergy, Varicose veins",1,7
Bronchial Asthma,11,11,24,4,10,19, chills +  vomiting,"Tuberculosis, Hepatitis D, Arthritis",6,7
Bronchial Asthma,9,18,7,16,23,20,itching +  vomiting,"Jaundice, Gastroenteritis, hepatitis A",4,7
Bronchial Asthma,11,18,7,16,23,20, vomiting +  fatigue,"Jaundice, Hypoglycemia, Paralysis (brain hemorrhage)",5,7
Bronchial Asthma,11,11,7,16,23,20, chills +  vomiting,"Malaria, Acne, Urinary tract infection",1,7
Bronchial Asthma,11,11,24,16,23,20, vomiting +  weakness_of_one_body_side,"Paralysis (brain hemorrhage), Urinary tract infection, Acne",8,7
Bronchial Asthma,11,11,24,4,23,20, vomiting +  fatigue,"Hypoglycemia, Tuberculosis, GERD",6,7
Bronchial Asthma,11,11,24,4,10,20,itching +  skin_rash,"Drug Reaction, Peptic ulcer diseae, Migraine",4,7
Bronchial Asthma,11,11,24,4,10,19, fatigue +  high_fever,"Bronchial Asthma, Hyperthyroidism, Diabetes ",5,7
Bronchial Asthma,9,18,7,16,23,20,itching +  vomiting,"Chronic cholestasis, Common Cold, Chicken pox",8,7
Bronchial Asthma,11,18,7,16,23,20, joint_pain +  vomiting,"hepatitis A, GERD, Alcoholic hepatitis",4,7
Hypertension ,12,8,19,26,19,20, vomiting +  dehydration,"Gastroenteritis, Drug Reaction, Allergy",0,7
Hypertension ,5,14,30,23,12,20, fatigue +  bruising,"Varicose veins, Dengue, Impetigo",6,7
Hypertension ,12,14,30,23,12,20, joint_pain +  neck_pain,"Osteoarthristis, Typhoid, Tuberculosis",5,7
Hypertension ,12,8,30,23,12,20, weakness_in_limbs +  neck_pain,"Cervical spondylosis, Allergy, (vertigo) Paroymsal  Positional Vertigo",7,7
Hypertension ,12,8,19,23,12,20, vomiting +  indigestion,"Peptic ulcer diseae, Heart attack, Urinary tract infection",9,7
Hypertension ,12,8,19,26,12,20, fatigue +  mood_swings,"Hyperthyroidism, Hypothyroidism, Hypoglycemia",0,7
Hypertension ,12,8,19,26,19,20, continuous_sneezing +  shivering,"Allergy, Hyperthyroidism, Dimorphic hemmorhoids(piles)",2,7
Hypertension ,5,14,30,23,12,20, skin_rash +  pus_filled_pimples,"Acne, hepatitis A",2,7
Hypertension ,12,14,30,23,12,20, chills +  vomiting,"Tuberculosis, Cervical spondylosis, Varicose veins",5,7
Hypertension ,12,8,30,23,12,20, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Fungal infection, Varicose veins",5,7
Migraine,0,19,23,3,9,25, joint_pain +  vomiting,"Hepatitis D, Diabetes , Hepatitis E",0,7
Migraine,14,17,6,14,29,6, back_pain +  weakness_in_limbs,"Cervical spondylosis, Arthritis, Dimorphic hemmorhoids(piles)",4,7
Migraine,0,17,6,14,29,6, chills +  vomiting,"Tuberculosis, Acne, Common Cold",5,7
Migraine,0,19,6,14,29,6, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Hepatitis D, Jaundice",9,7
Migraine,0,19,23,14,29,6, fatigue +  mood_swings,"Hyperthyroidism, Arthritis, Drug Reaction",0,7
Migraine,0,19,23,3,29,6, joint_pain +  vomiting,"Hepatitis E, Tuberculosis, Varicose veins",1,7
Migraine,0,19,23,3,9,6, fatigue +  cough,"Bronchial Asthma, GERD, Hypothyroidism",6,7
Migraine,0,19,23,3,9,25, joint_pain +  neck_pain,"Osteoarthristis, Hyperthyroidism, Allergy",6,7
Migraine,0,19,23,3,9,25, joint_pain +  neck_pain,"Osteoarthristis, Alcoholic hepatitis, GERD",6,7
Migraine,0,19,23,3,9,25, muscle_wasting +  patches_in_throat,"AIDS, Diabetes , Migraine",8,7
Cervical spondylosis,1,43,34,13,22,20, fatigue +  cough,"Bronchial Asthma, Heart attack, Typhoid",4,7
Cervical spondylosis,1,43,34,13,22,20, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Common Cold, Hypoglycemia",5,7
Cervical spondylosis,29,26,19,26,12,20, joint_pain +  neck_pain,"Osteoarthristis, Psoriasis, Chicken pox",3,7
Cervical spondylosis,1,26,19,26,12,20, chills +  vomiting,"Malaria, Dengue, Arthritis",6,7
Cervical spondylosis,1,43,19,26,12,20, vomiting +  fatigue,"Tuberculosis, Alcoholic hepatitis, (vertigo) Paroymsal  Positional Vertigo",1,7
Cervical spondylosis,1,43,34,26,12,20, fatigue +  yellowish_skin,"Hepatitis C, Drug Reaction, Osteoarthristis",2,7
Cervical spondylosis,1,43,34,13,12,20, chills +  vomiting,"Tuberculosis, Drug Reaction, Osteoarthristis",6,7
Cervical spondylosis,1,43,34,13,22,20, skin_rash +  pus_filled_pimples,"Acne, Typhoid, Pneumonia",5,7
Cervical spondylosis,29,26,19,26,12,20, chills +  vomiting,"Malaria, Hepatitis C, Hypertension ",0,7
Cervical spondylosis,1,26,19,26,12,20, fatigue +  cramps,"Varicose veins, Hepatitis D",4,7
Paralysis (brain hemorrhage),28,17,51,1,12,20, chills +  vomiting,"Typhoid, Paralysis (brain hemorrhage), Arthritis",4,7
Paralysis (brain hemorrhage),28,17,51,1,12,20,itching +  fatigue,"Hepatitis B, Varicose veins, Hypoglycemia",8,7
Paralysis (brain hemorrhage),12,44,1,19,12,20, chills +  fatigue,"Pneumonia, Urinary tract infection, Dengue",9,7
Paralysis (brain hemorrhage),28,44,1,19,12,20, skin_rash +  blister,"Impetigo, Hypertension , Psoriasis",4,7
Paralysis (brain hemorrhage),28,17,1,19,12,20, vomiting +  indigestion,"Peptic ulcer diseae, Dengue",1,7
Paralysis (brain hemorrhage),28,17,51,19,12,20, fatigue +  weight_gain,"Hypothyroidism, Urinary tract infection, Osteoarthristis",0,7
Paralysis (brain hemorrhage),28,17,51,1,12,20, skin_rash +  joint_pain,"Psoriasis, Bronchial Asthma, AIDS",1,7
Paralysis (brain hemorrhage),12,44,1,19,12,20, chills +  vomiting,"Malaria, Cervical spondylosis, Acne",4,7
Paralysis (brain hemorrhage),28,44,1,19,12,20, joint_pain +  neck_pain,"Osteoarthristis, Hepatitis E, Tuberculosis",8,7
Paralysis (brain hemorrhage),28,17,1,19,12,20, fatigue +  weight_gain,"Hypothyroidism, Dengue, (vertigo) Paroymsal  Positional Vertigo",6,7
Jaundice,33,42,21,46,13,31, stomach_pain +  acidity,"GERD, Heart attack, Dengue",4,7
Jaundice,33,42,21,46,13,31, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Psoriasis",8,7
Jaundice,28,15,52,19,37,5, chills +  fatigue,"Pneumonia, Diabetes , (vertigo) Paroymsal  Positional Vertigo",1,7
Jaundice,33,15,52,19,37,5, chills +  fatigue,"Pneumonia, GERD, Alcoholic hepatitis",6,7
Jaundice,33,42,52,19,37,5, fatigue +  yellowish_skin,"Hepatitis C, Impetigo, Psoriasis",6,7
Jaundice,33,42,21,19,37,5, skin_rash +  joint_pain,"Psoriasis, Tuberculosis",5,7
Jaundice,33,42,21,46,37,5, muscle_wasting +  patches_in_throat,"AIDS, Chronic cholestasis, Hepatitis B",8,7
Jaundice,33,42,21,46,13,5, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Gastroenteritis, Hypothyroidism",6,7
Jaundice,33,42,21,46,13,31, fatigue +  mood_swings,"Hyperthyroidism, Jaundice, Impetigo",0,7
Jaundice,33,42,21,46,13,31, skin_rash +  high_fever,"Impetigo, Gastroenteritis, Pneumonia",2,7
Malaria,6,42,24,40,12,20, fatigue +  cramps,"Varicose veins, Common Cold, Arthritis",6,7
Malaria,6,42,24,40,12,20, skin_rash +  joint_pain,"Psoriasis, Urinary tract infection, Hypothyroidism",6,7
Malaria,6,42,24,40,12,20, skin_rash +  high_fever,"Impetigo, hepatitis A, Hypertension ",2,7
Malaria,28,18,45,18,24,7, vomiting +  yellowish_skin,"Alcoholic hepatitis, Paralysis (brain hemorrhage), Common Cold",0,7
Malaria,6,18,45,18,24,7, joint_pain +  vomiting,"Hepatitis E, Hepatitis C, Pneumonia",0,7
Malaria,6,42,45,18,24,7, fatigue +  cough,"Bronchial Asthma, Dimorphic hemmorhoids(piles), Varicose veins",2,7
Malaria,6,42,24,18,24,7, chills +  vomiting,"Typhoid, Allergy, Cervical spondylosis",6,7
Malaria,6,42,24,40,24,7, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Psoriasis",0,7
Malaria,6,42,24,40,12,7, fatigue +  cramps,"Varicose veins, Hyperthyroidism, Drug Reaction",2,7
Malaria,6,42,24,40,12,20, fatigue +  mood_swings,"Hyperthyroidism, Jaundice, Typhoid",0,7
Chicken pox,33,35,21,24,13,12, vomiting +  fatigue,"Hypoglycemia, Hepatitis B, Malaria",6,7
Chicken pox,24,15,28,19,12,17,itching +  skin_rash,"Fungal infection, Drug Reaction, Hepatitis E",5,7
Chicken pox,33,15,28,19,12,17, chills +  fatigue,"Pneumonia, Hypothyroidism, Acne",5,7
Chicken pox,33,35,28,19,12,17, vomiting +  breathlessness,"Heart attack, Paralysis (brain hemorrhage), GERD",0,7
Chicken pox,33,35,21,19,12,17, skin_rash +  joint_pain,"Psoriasis, hepatitis A, Jaundice",1,7
Chicken pox,33,35,21,24,12,17, fatigue +  cough,"Bronchial Asthma, Gastroenteritis, Hyperthyroidism",5,7
Chicken pox,33,35,21,24,13,17, joint_pain +  knee_pain,"Osteoarthristis, hepatitis A, Urinary tract infection",4,7
Chicken pox,33,35,21,24,13,12, skin_rash +  chills,"Dengue, Urinary tract infection, Alcoholic hepatitis",4,7
Chicken pox,33,35,21,24,13,12, chills +  vomiting,"Typhoid, Bronchial Asthma, hepatitis A",5,7
Chicken pox,33,35,21,24,13,12,itching +  skin_rash,"Fungal infection, Arthritis, Common Cold",3,7
Dengue,24,9,26,44,11,13, continuous_sneezing +  shivering,"Allergy, GERD, (vertigo) Paroymsal  Positional Vertigo",5,7
Dengue,24,9,26,44,11,13, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Gastroenteritis, Hyperthyroidism",5,7
Dengue,24,9,26,44,11,13, joint_pain +  neck_pain,"Osteoarthristis, AIDS, Migraine",5,7
Dengue,24,9,26,44,11,13, patches_in_throat +  high_fever,"AIDS, Hepatitis B, Hyperthyroidism",4,7
Dengue,6,20,49,17,13,12, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Migraine, Gastroenteritis",1,7
Dengue,24,20,49,17,13,12, skin_rash +  pus_filled_pimples,"Acne, Varicose veins, Hepatitis C",5,7
Dengue,24,9,49,17,13,12, muscle_wasting +  patches_in_throat,"AIDS, Fungal infection, Tuberculosis",6,7
Dengue,24,9,26,17,13,12, skin_rash +  joint_pain,"Psoriasis, Drug Reaction, Cervical spondylosis",8,7
Dengue,24,9,26,44,13,12,itching +  skin_rash,"Fungal infection, Heart attack, Acne",5,7
Dengue,24,9,26,44,11,12, back_pain +  weakness_in_limbs,"Cervical spondylosis, Common Cold",1,7
Typhoid,6,42,21,19,24,4, chills +  vomiting,"Malaria, Alcoholic hepatitis, Typhoid",4,7
Typhoid,6,42,21,19,12,4, fatigue +  yellowish_skin,"Hepatitis C, Acne, (vertigo) Paroymsal  Positional Vertigo",6,7
Typhoid,6,42,21,19,12,20, chills +  vomiting,"Malaria, Dengue, Cervical spondylosis",5,7
Typhoid,6,42,21,19,12,20, chills +  vomiting,"Malaria, Hepatitis D, Tuberculosis",6,7
Typhoid,6,42,21,19,12,20, stomach_pain +  acidity,"GERD, Hypoglycemia, Malaria",6,7
Typhoid,6,42,21,19,12,20,itching +  vomiting,"Chronic cholestasis, Varicose veins, Cervical spondylosis",0,7
Typhoid,6,42,21,19,12,20, chills +  fatigue,"Typhoid, Hepatitis C, Malaria",4,7
Typhoid,6,42,21,19,12,20, muscle_weakness +  stiff_neck,"Arthritis, Paralysis (brain hemorrhage), Acne",1,7
Typhoid,6,42,21,19,12,20, chills +  vomiting,"Tuberculosis, Varicose veins, Peptic ulcer diseae",1,7
Typhoid,6,15,24,18,24,4, joint_pain +  vomiting,"hepatitis A, Hyperthyroidism, (vertigo) Paroymsal  Positional Vertigo",4,7
hepatitis A,15,42,53,9,24,17,itching +  skin_rash,"Fungal infection, Arthritis, Peptic ulcer diseae",7,7
hepatitis A,15,42,53,9,24,17,itching +  fatigue,"Hepatitis B, Diabetes , Hepatitis C",0,7
hepatitis A,28,47,15,29,21,0, muscle_weakness +  stiff_neck,"Arthritis, Hepatitis C, Jaundice",5,7
hepatitis A,15,47,15,29,21,0, joint_pain +  vomiting,"hepatitis A, Typhoid, Hepatitis E",3,7
hepatitis A,15,42,15,29,21,0, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Hepatitis E",1,7
hepatitis A,15,42,53,29,21,0, skin_rash +  joint_pain,"Psoriasis, Hyperthyroidism, Hepatitis E",8,7
hepatitis A,15,42,53,9,21,0, joint_pain +  vomiting,"hepatitis A, Hypothyroidism, Chronic cholestasis",4,7
hepatitis A,15,42,53,9,24,0, joint_pain +  vomiting,"Hepatitis D, Hypoglycemia, GERD",9,7
hepatitis A,15,42,53,9,24,17,itching +  vomiting,"Chronic cholestasis, Peptic ulcer diseae, Hypothyroidism",7,7
hepatitis A,15,42,53,9,24,17, back_pain +  weakness_in_limbs,"Cervical spondylosis, Diabetes , Hepatitis D",7,7
Hepatitis B,33,15,28,49,5,17, vomiting +  sunken_eyes,"Gastroenteritis, GERD, Osteoarthristis",4,7
Hepatitis B,33,15,28,49,5,17, fatigue +  weight_loss,"Diabetes , Chronic cholestasis, Hypoglycemia",0,7
Hepatitis B,11,22,53,9,21,0, muscle_weakness +  stiff_neck,"Arthritis, Migraine, Hepatitis E",1,7
Hepatitis B,33,22,53,9,21,0,itching +  vomiting,"Jaundice, Hyperthyroidism, Chicken pox",9,7
Hepatitis B,33,15,53,9,21,0, fatigue +  weight_loss,"Diabetes , Hepatitis D, Hepatitis E",2,7
Hepatitis B,33,15,28,9,21,0, skin_rash +  joint_pain,"Psoriasis, Drug Reaction, Varicose veins",4,7
Hepatitis B,33,15,28,49,21,0, joint_pain +  vomiting,"Hepatitis E, Hepatitis B, (vertigo) Paroymsal  Positional Vertigo",6,7
Hepatitis B,33,15,28,49,5,0,itching +  vomiting,"Jaundice, Arthritis",6,7
Hepatitis B,33,15,28,49,5,17, vomiting +  dehydration,"Gastroenteritis, Impetigo, Cervical spondylosis",1,7
Hepatitis B,33,15,28,49,5,17,itching +  skin_rash,"Chicken pox, Osteoarthristis, Psoriasis",1,7
Hepatitis C,11,47,33,25,10,20, chills +  vomiting,"Malaria, Dimorphic hemmorhoids(piles), Diabetes ",6,7
Hepatitis C,11,47,33,25,36,9, pain_during_bowel_movements +  pain_in_anal_region,"Dimorphic hemmorhoids(piles), Hypothyroidism, Bronchial Asthma",5,7
Hepatitis C,32,25,29,48,10,20, continuous_sneezing +  shivering,"Allergy, Hypoglycemia, Chicken pox",6,7
Hepatitis C,11,25,29,48,10,20, skin_rash +  blackheads,"Acne, (vertigo) Paroymsal  Positional Vertigo, Hyperthyroidism",5,7
Hepatitis C,11,47,29,48,10,20, vomiting +  fatigue,"Hypoglycemia, Urinary tract infection, Migraine",5,7
Hepatitis C,11,47,33,48,10,20, muscle_wasting +  patches_in_throat,"AIDS, (vertigo) Paroymsal  Positional Vertigo, Urinary tract infection",6,7
Hepatitis C,11,47,33,25,10,20, vomiting +  breathlessness,"Heart attack, Dengue, Cervical spondylosis",6,7
Hepatitis C,11,47,33,25,36,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Varicose veins, Common Cold",1,7
Hepatitis C,11,47,33,25,36,9, chills +  fatigue,"Pneumonia, Hypertension , Dimorphic hemmorhoids(piles)",6,7
Hepatitis C,11,47,33,25,36,9, muscle_wasting +  high_fever,"AIDS, Hepatitis C, Osteoarthristis",6,7
Hepatitis D,15,42,21,49,5,20, stomach_pain +  acidity,"GERD, Dengue, Malaria",6,7
Hepatitis D,28,15,53,9,24,17, stomach_pain +  acidity,"GERD, AIDS, Fungal infection",4,7
Hepatitis D,15,15,53,9,24,17, fatigue +  weight_loss,"Diabetes , Hepatitis B, Impetigo",3,7
Hepatitis D,15,42,53,9,24,17, burning_micturition +  bladder_discomfort,"Urinary tract infection, (vertigo) Paroymsal  Positional Vertigo",6,7
Hepatitis D,15,42,21,9,24,17, continuous_sneezing +  chills,"Common Cold, Drug Reaction, (vertigo) Paroymsal  Positional Vertigo",2,7
Hepatitis D,15,42,21,49,24,17, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Hepatitis E, GERD",5,7
Hepatitis D,15,42,21,49,5,17, fatigue +  anxiety,"Hypoglycemia, Hepatitis C, Cervical spondylosis",6,7
Hepatitis D,15,42,21,49,5,20, vomiting +  yellowish_skin,"Alcoholic hepatitis, AIDS, Paralysis (brain hemorrhage)",5,7
