symptom,duration,interpretation,risk_level,clinical_category,emergency_flag,duration_score,temporal_severity_score
Fever,2,Underlying disease progression,1,3,0,2,1
Fever,6,Acute condition likely,2,1,1,6,2
Fever,6,Possible infection,3,2,0,6,3
Fever,6,Monitor symptoms,4,4,1,6,4
Fever,6,Requires clinical evaluation,1,0,0,6,1
Fever,6,Chronic condition suspected,2,3,1,6,2
Fever,6,Emergency evaluation needed,3,1,0,6,3
Fever,6,Lifestyle-related issue possible,4,2,1,6,4
Fever,6,Underlying disease progression,1,4,0,6,1
Cough,5,Acute condition likely,2,0,1,5,2
Cough,5,Possible infection,3,3,0,5,3
Cough,5,Monitor symptoms,4,1,1,5,4
Cough,5,Requires clinical evaluation,1,2,0,5,1
Cough,5,Chronic condition suspected,2,4,1,5,2
Cough,5,Emergency evaluation needed,3,0,0,5,3
Cough,5,Lifestyle-related issue possible,4,3,1,5,4
Cough,5,Underlying disease progression,1,1,0,5,1
Cough,1,Acute condition likely,2,2,1,1,2
Cough,1,Possible infection,3,4,0,1,3
Cough,1,Monitor symptoms,4,0,1,1,4
Cough,1,Requires clinical evaluation,1,3,0,1,1
Cough,1,Chronic condition suspected,2,1,1,1,2
Cough,1,Emergency evaluation needed,3,2,0,1,3
Cough,1,Lifestyle-related issue possible,4,4,1,1,4
Cough,1,Underlying disease progression,1,0,0,1,1
Cough,4,Acute condition likely,2,3,1,4,2
Cough,4,Possible infection,3,1,0,4,3
Cough,4,Monitor symptoms,4,2,1,4,4
Cough,4,Requires clinical evaluation,1,4,0,4,1
Cough,4,Chronic condition suspected,2,0,1,4,2
Cough,4,Emergency evaluation needed,3,3,0,4,3
Cough,4,Lifestyle-related issue possible,4,1,1,4,4
Cough,4,Underlying disease progression,1,2,0,4,1
Cough,0,Acute condition likely,2,4,1,0,2
Cough,0,Possible infection,3,0,0,0,3
Cough,0,Monitor symptoms,4,3,1,0,4
Cough,0,Requires clinical evaluation,1,1,0,0,1
Cough,0,Chronic condition suspected,2,2,1,0,2
Cough,0,Emergency evaluation needed,3,4,0,0,3
Cough,0,Lifestyle-related issue possible,4,0,1,0,4
Cough,0,Underlying disease progression,1,3,0,0,1
Cough,3,Acute condition likely,2,1,1,3,2
Cough,3,Possible infection,3,2,0,3,3
Cough,3,Monitor symptoms,4,4,1,3,4
Cough,3,Requires clinical evaluation,1,0,0,3,1
Cough,3,Chronic condition suspected,2,3,1,3,2
Cough,3,Emergency evaluation needed,3,1,0,3,3
Cough,3,Lifestyle-related issue possible,4,2,1,3,4
Cough,3,Underlying disease progression,1,4,0,3,1
Cough,2,Acute condition likely,2,0,1,2,2
Cough,2,Possible infection,3,3,0,2,3
Cough,2,Monitor symptoms,4,1,1,2,4
Cough,2,Requires clinical evaluation,1,2,0,2,1
Cough,2,Chronic condition suspected,2,4,1,2,2
Cough,2,Emergency evaluation needed,3,0,0,2,3
Cough,2,Lifestyle-related issue possible,4,3,1,2,4
Cough,2,Underlying disease progression,1,1,0,2,1
Cough,6,Acute condition likely,2,2,1,6,2
Cough,6,Possible infection,3,4,0,6,3
Cough,6,Monitor symptoms,4,0,1,6,4
Cough,6,Requires clinical evaluation,1,3,0,6,1
Cough,6,Chronic condition suspected,2,1,1,6,2
Cough,6,Emergency evaluation needed,3,2,0,6,3
Cough,6,Lifestyle-related issue possible,4,4,1,6,4
Cough,6,Underlying disease progression,1,0,0,6,1
Chest Pain,5,Acute condition likely,2,3,1,5,2
Chest Pain,5,Possible infection,3,1,0,5,3
Chest Pain,5,Monitor symptoms,4,2,1,5,4
Chest Pain,5,Requires clinical evaluation,1,4,0,5,1
Chest Pain,5,Chronic condition suspected,2,0,1,5,2
Chest Pain,5,Emergency evaluation needed,3,3,0,5,3
Chest Pain,5,Lifestyle-related issue possible,4,1,1,5,4
Chest Pain,5,Underlying disease progression,1,2,0,5,1
Chest Pain,1,Acute condition likely,2,4,1,1,2
Chest Pain,1,Possible infection,3,0,0,1,3
Chest Pain,1,Monitor symptoms,4,3,1,1,4
Chest Pain,1,Requires clinical evaluation,1,1,0,1,1
Chest Pain,1,Chronic condition suspected,2,2,1,1,2
Chest Pain,1,Emergency evaluation needed,3,4,0,1,3
Chest Pain,1,Lifestyle-related issue possible,4,0,1,1,4
Chest Pain,1,Underlying disease progression,1,3,0,1,1
Chest Pain,4,Acute condition likely,2,1,1,4,2
Chest Pain,4,Possible infection,3,2,0,4,3
Chest Pain,4,Monitor symptoms,4,4,1,4,4
Chest Pain,4,Requires clinical evaluation,1,0,0,4,1
Chest Pain,4,Chronic condition suspected,2,3,1,4,2
Chest Pain,4,Emergency evaluation needed,3,1,0,4,3
Chest Pain,4,Lifestyle-related issue possible,4,2,1,4,4
Chest Pain,4,Underlying disease progression,1,4,0,4,1
Chest Pain,0,Acute condition likely,2,0,1,0,2
Chest Pain,0,Possible infection,3,3,0,0,3
Chest Pain,0,Monitor symptoms,4,1,1,0,4
Chest Pain,0,Requires clinical evaluation,1,2,0,0,1
Chest Pain,0,Chronic condition suspected,2,4,1,0,2
Chest Pain,0,Emergency evaluation needed,3,0,0,0,3
Chest Pain,0,Lifestyle-related issue possible,4,3,1,0,4
Chest Pain,0,Underlying disease progression,1,1,0,0,1
Chest Pain,3,Acute condition likely,2,2,1,3,2
Chest Pain,3,Possible infection,3,4,0,3,3
Chest Pain,3,Monitor symptoms,4,0,1,3,4
Chest Pain,3,Requires clinical evaluation,1,3,0,3,1
Chest Pain,3,Chronic condition suspected,2,1,1,3,2
Chest Pain,3,Emergency evaluation needed,3,2,0,3,3
Chest Pain,3,Lifestyle-related issue possible,4,4,1,3,4
Chest Pain,3,Underlying disease progression,1,0,0,3,1
Chest Pain,2,Acute condition likely,2,3,1,2,2
Chest Pain,2,Possible infection,3,1,0,2,3
Chest Pain,2,Monitor symptoms,4,2,1,2,4
Chest Pain,2,Requires clinical evaluation,1,4,0,2,1
Chest Pain,2,Chronic condition suspected,2,0,1,2,2
Chest Pain,2,Emergency evaluation needed,3,3,0,2,3
Chest Pain,2,Lifestyle-related issue possible,4,1,1,2,4
Chest Pain,2,Underlying disease progression,1,2,0,2,1
Chest Pain,6,Acute condition likely,2,4,1,6,2
Chest Pain,6,Possible infection,3,0,0,6,3
Chest Pain,6,Monitor symptoms,4,3,1,6,4
Chest Pain,6,Requires clinical evaluation,1,1,0,6,1
Chest Pain,6,Chronic condition suspected,2,2,1,6,2
Chest Pain,6,Emergency evaluation needed,3,4,0,6,3
Chest Pain,6,Lifestyle-related issue possible,4,0,1,6,4
Chest Pain,6,Underlying disease progression,1,3,0,6,1
Headache,5,Acute condition likely,2,1,1,5,2
Headache,5,Possible infection,3,2,0,5,3
Headache,5,Monitor symptoms,4,4,1,5,4
Headache,5,Requires clinical evaluation,1,0,0,5,1
Headache,5,Chronic condition suspected,2,3,1,5,2
Headache,5,Emergency evaluation needed,3,1,0,5,3
Headache,5,Lifestyle-related issue possible,4,2,1,5,4
Headache,5,Underlying disease progression,1,4,0,5,1
Headache,1,Acute condition likely,2,0,1,1,2
Headache,1,Possible infection,3,3,0,1,3
Headache,1,Monitor symptoms,4,1,1,1,4
Headache,1,Requires clinical evaluation,1,2,0,1,1
Headache,1,Chronic condition suspected,2,4,1,1,2
Headache,1,Emergency evaluation needed,3,0,0,1,3
Headache,1,Lifestyle-related issue possible,4,3,1,1,4
Headache,1,Underlying disease progression,1,1,0,1,1
Headache,4,Acute condition likely,2,2,1,4,2
Headache,4,Possible infection,3,4,0,4,3
Headache,4,Monitor symptoms,4,0,1,4,4
Headache,4,Requires clinical evaluation,1,3,0,4,1
Headache,4,Chronic condition suspected,2,1,1,4,2
Headache,4,Emergency evaluation needed,3,2,0,4,3
Headache,4,Lifestyle-related issue possible,4,4,1,4,4
Headache,4,Underlying disease progression,1,0,0,4,1
Headache,0,Acute condition likely,2,3,1,0,2
Headache,0,Possible infection,3,1,0,0,3
Headache,0,Monitor symptoms,4,2,1,0,4
Headache,0,Requires clinical evaluation,1,4,0,0,1
Headache,0,Chronic condition suspected,2,0,1,0,2
Headache,0,Emergency evaluation needed,3,3,0,0,3
Headache,0,Lifestyle-related issue possible,4,1,1,0,4
Headache,0,Underlying disease progression,1,2,0,0,1
Headache,3,Acute condition likely,2,4,1,3,2
Headache,3,Possible infection,3,0,0,3,3
Headache,3,Monitor symptoms,4,3,1,3,4
Headache,3,Requires clinical evaluation,1,1,0,3,1
Headache,3,Chronic condition suspected,2,2,1,3,2
Headache,3,Emergency evaluation needed,3,4,0,3,3
Headache,3,Lifestyle-related issue possible,4,0,1,3,4
Headache,3,Underlying disease progression,1,3,0,3,1
Headache,2,Acute condition likely,2,1,1,2,2
Headache,2,Possible infection,3,2,0,2,3
Headache,2,Monitor symptoms,4,4,1,2,4
Headache,2,Requires clinical evaluation,1,0,0,2,1
Headache,2,Chronic condition suspected,2,3,1,2,2
Headache,2,Emergency evaluation needed,3,1,0,2,3
Headache,2,Lifestyle-related issue possible,4,2,1,2,4
Headache,2,Underlying disease progression,1,4,0,2,1
Headache,6,Acute condition likely,2,0,1,6,2
Headache,6,Possible infection,3,3,0,6,3
Headache,6,Monitor symptoms,4,1,1,6,4
Headache,6,Requires clinical evaluation,1,2,0,6,1
Headache,6,Chronic condition suspected,2,4,1,6,2
Headache,6,Emergency evaluation needed,3,0,0,6,3
Headache,6,Lifestyle-related issue possible,4,3,1,6,4
Headache,6,Underlying disease progression,1,1,0,6,1
Abdominal Pain,5,Acute condition likely,2,2,1,5,2
Abdominal Pain,5,Possible infection,3,4,0,5,3
Abdominal Pain,5,Monitor symptoms,4,0,1,5,4
Abdominal Pain,5,Requires clinical evaluation,1,3,0,5,1
Abdominal Pain,5,Chronic condition suspected,2,1,1,5,2
Abdominal Pain,5,Emergency evaluation needed,3,2,0,5,3
Abdominal Pain,5,Lifestyle-related issue possible,4,4,1,5,4
Abdominal Pain,5,Underlying disease progression,1,0,0,5,1
Abdominal Pain,1,Acute condition likely,2,3,1,1,2
Abdominal Pain,1,Possible infection,3,1,0,1,3
Abdominal Pain,1,Monitor symptoms,4,2,1,1,4
Abdominal Pain,1,Requires clinical evaluation,1,4,0,1,1
Abdominal Pain,1,Chronic condition suspected,2,0,1,1,2
Abdominal Pain,1,Emergency evaluation needed,3,3,0,1,3
Abdominal Pain,1,Lifestyle-related issue possible,4,1,1,1,4
Abdominal Pain,1,Underlying disease progression,1,2,0,1,1
Abdominal Pain,4,Acute condition likely,2,4,1,4,2
Abdominal Pain,4,Possible infection,3,0,0,4,3
Abdominal Pain,4,Monitor symptoms,4,3,1,4,4
Abdominal Pain,4,Requires clinical evaluation,1,1,0,4,1
Abdominal Pain,4,Chronic condition suspected,2,2,1,4,2
Abdominal Pain,4,Emergency evaluation needed,3,4,0,4,3
Abdominal Pain,4,Lifestyle-related issue possible,4,0,1,4,4
Abdominal Pain,4,Underlying disease progression,1,3,0,4,1
Abdominal Pain,0,Acute condition likely,2,1,1,0,2
Abdominal Pain,0,Possible infection,3,2,0,0,3
Abdominal Pain,0,Monitor symptoms,4,4,1,0,4
Abdominal Pain,0,Requires clinical evaluation,1,0,0,0,1
Abdominal Pain,0,Chronic condition suspected,2,3,1,0,2
Abdominal Pain,0,Emergency evaluation needed,3,1,0,0,3
Abdominal Pain,0,Lifestyle-related issue possible,4,2,1,0,4
Abdominal Pain,0,Underlying disease progression,1,4,0,0,1
Abdominal Pain,3,Acute condition likely,2,0,1,3,2
Abdominal Pain,3,Possible infection,3,3,0,3,3
Abdominal Pain,3,Monitor symptoms,4,1,1,3,4
Abdominal Pain,3,Requires clinical evaluation,1,2,0,3,1
Abdominal Pain,3,Chronic condition suspected,2,4,1,3,2
Abdominal Pain,3,Emergency evaluation needed,3,0,0,3,3
Abdominal Pain,3,Lifestyle-related issue possible,4,3,1,3,4
Abdominal Pain,3,Underlying disease progression,1,1,0,3,1
Abdominal Pain,2,Acute condition likely,2,2,1,2,2
Abdominal Pain,2,Possible infection,3,4,0,2,3
Abdominal Pain,2,Monitor symptoms,4,0,1,2,4
Abdominal Pain,2,Requires clinical evaluation,1,3,0,2,1
Abdominal Pain,2,Chronic condition suspected,2,1,1,2,2
Abdominal Pain,2,Emergency evaluation needed,3,2,0,2,3
Abdominal Pain,2,Lifestyle-related issue possible,4,4,1,2,4
Abdominal Pain,2,Underlying disease progression,1,0,0,2,1
Abdominal Pain,6,Acute condition likely,2,3,1,6,2
Abdominal Pain,6,Possible infection,3,1,0,6,3
Abdominal Pain,6,Monitor symptoms,4,2,1,6,4
Abdominal Pain,6,Requires clinical evaluation,1,4,0,6,1
Abdominal Pain,6,Chronic condition suspected,2,0,1,6,2
Abdominal Pain,6,Emergency evaluation needed,3,3,0,6,3
Abdominal Pain,6,Lifestyle-related issue possible,4,1,1,6,4
Abdominal Pain,6,Underlying disease progression,1,2,0,6,1
Vomiting,5,Acute condition likely,2,4,1,5,2
Vomiting,5,Possible infection,3,0,0,5,3
Vomiting,5,Monitor symptoms,4,3,1,5,4
Vomiting,5,Requires clinical evaluation,1,1,0,5,1
Vomiting,5,Chronic condition suspected,2,2,1,5,2
Vomiting,5,Emergency evaluation needed,3,4,0,5,3
Vomiting,5,Lifestyle-related issue possible,4,0,1,5,4
Vomiting,5,Underlying disease progression,1,3,0,5,1
Vomiting,1,Acute condition likely,2,1,1,1,2
Vomiting,1,Possible infection,3,2,0,1,3
Vomiting,1,Monitor symptoms,4,4,1,1,4
Vomiting,1,Requires clinical evaluation,1,0,0,1,1
Vomiting,1,Chronic condition suspected,2,3,1,1,2
Vomiting,1,Emergency evaluation needed,3,1,0,1,3
Vomiting,1,Lifestyle-related issue possible,4,2,1,1,4
Vomiting,1,Underlying disease progression,1,4,0,1,1
Vomiting,4,Acute condition likely,2,0,1,4,2
Vomiting,4,Possible infection,3,3,0,4,3
Vomiting,4,Monitor symptoms,4,1,1,4,4
Vomiting,4,Requires clinical evaluation,1,2,0,4,1
Vomiting,4,Chronic condition suspected,2,4,1,4,2
Vomiting,4,Emergency evaluation needed,3,0,0,4,3
Vomiting,4,Lifestyle-related issue possible,4,3,1,4,4
Vomiting,4,Underlying disease progression,1,1,0,4,1
Vomiting,0,Acute condition likely,2,2,1,0,2
Vomiting,0,Possible infection,3,4,0,0,3
Vomiting,0,Monitor symptoms,4,0,1,0,4
Vomiting,0,Requires clinical evaluation,1,3,0,0,1
Vomiting,0,Chronic condition suspected,2,1,1,0,2
Vomiting,0,Emergency evaluation needed,3,2,0,0,3
Vomiting,0,Lifestyle-related issue possible,4,4,1,0,4
Vomiting,0,Underlying disease progression,1,0,0,0,1
Vomiting,3,Acute condition likely,2,3,1,3,2
Vomiting,3,Possible infection,3,1,0,3,3
Vomiting,3,Monitor symptoms,4,2,1,3,4
Vomiting,3,Requires clinical evaluation,1,4,0,3,1
Vomiting,3,Chronic condition suspected,2,0,1,3,2
Vomiting,3,Emergency evaluation needed,3,3,0,3,3
Vomiting,3,Lifestyle-related issue possible,4,1,1,3,4
Vomiting,3,Underlying disease progression,1,2,0,3,1
Vomiting,2,Acute condition likely,2,4,1,2,2
Vomiting,2,Possible infection,3,0,0,2,3
Vomiting,2,Monitor symptoms,4,3,1,2,4
Vomiting,2,Requires clinical evaluation,1,1,0,2,1
Vomiting,2,Chronic condition suspected,2,2,1,2,2
Vomiting,2,Emergency evaluation needed,3,4,0,2,3
Vomiting,2,Lifestyle-related issue possible,4,0,1,2,4
Vomiting,2,Underlying disease progression,1,3,0,2,1
Vomiting,6,Acute condition likely,2,1,1,6,2
Vomiting,6,Possible infection,3,2,0,6,3
Vomiting,6,Monitor symptoms,4,4,1,6,4
Vomiting,6,Requires clinical evaluation,1,0,0,6,1
Vomiting,6,Chronic condition suspected,2,3,1,6,2
Vomiting,6,Emergency evaluation needed,3,1,0,6,3
Vomiting,6,Lifestyle-related issue possible,4,2,1,6,4
Vomiting,6,Underlying disease progression,1,4,0,6,1
Diarrhea,5,Acute condition likely,2,0,1,5,2
Diarrhea,5,Possible infection,3,3,0,5,3
Diarrhea,5,Monitor symptoms,4,1,1,5,4
Diarrhea,5,Requires clinical evaluation,1,2,0,5,1
Diarrhea,5,Chronic condition suspected,2,4,1,5,2
Diarrhea,5,Emergency evaluation needed,3,0,0,5,3
Diarrhea,5,Lifestyle-related issue possible,4,3,1,5,4
Diarrhea,5,Underlying disease progression,1,1,0,5,1
Diarrhea,1,Acute condition likely,2,2,1,1,2
Diarrhea,1,Possible infection,3,4,0,1,3
Diarrhea,1,Monitor symptoms,4,0,1,1,4
Diarrhea,1,Requires clinical evaluation,1,3,0,1,1
Diarrhea,1,Chronic condition suspected,2,1,1,1,2
Diarrhea,1,Emergency evaluation needed,3,2,0,1,3
Diarrhea,1,Lifestyle-related issue possible,4,4,1,1,4
Diarrhea,1,Underlying disease progression,1,0,0,1,1
Diarrhea,4,Acute condition likely,2,3,1,4,2
Diarrhea,4,Possible infection,3,1,0,4,3
Diarrhea,4,Monitor symptoms,4,2,1,4,4
Diarrhea,4,Requires clinical evaluation,1,4,0,4,1
Diarrhea,4,Chronic condition suspected,2,0,1,4,2
Diarrhea,4,Emergency evaluation needed,3,3,0,4,3
Diarrhea,4,Lifestyle-related issue possible,4,1,1,4,4
Diarrhea,4,Underlying disease progression,1,2,0,4,1
Diarrhea,0,Acute condition likely,2,4,1,0,2
Diarrhea,0,Possible infection,3,0,0,0,3
Diarrhea,0,Monitor symptoms,4,3,1,0,4
Diarrhea,0,Requires clinical evaluation,1,1,0,0,1
Diarrhea,0,Chronic condition suspected,2,2,1,0,2
Diarrhea,0,Emergency evaluation needed,3,4,0,0,3
Diarrhea,0,Lifestyle-related issue possible,4,0,1,0,4
Diarrhea,0,Underlying disease progression,1,3,0,0,1
Diarrhea,3,Acute condition likely,2,1,1,3,2
Diarrhea,3,Possible infection,3,2,0,3,3
Diarrhea,3,Monitor symptoms,4,4,1,3,4
Diarrhea,3,Requires clinical evaluation,1,0,0,3,1
Diarrhea,3,Chronic condition suspected,2,3,1,3,2
Diarrhea,3,Emergency evaluation needed,3,1,0,3,3
Diarrhea,3,Lifestyle-related issue possible,4,2,1,3,4
Diarrhea,3,Underlying disease progression,1,4,0,3,1
Diarrhea,2,Acute condition likely,2,0,1,2,2
Diarrhea,2,Possible infection,3,3,0,2,3
Diarrhea,2,Monitor symptoms,4,1,1,2,4
Diarrhea,2,Requires clinical evaluation,1,2,0,2,1
Diarrhea,2,Chronic condition suspected,2,4,1,2,2
Diarrhea,2,Emergency evaluation needed,3,0,0,2,3
Diarrhea,2,Lifestyle-related issue possible,4,3,1,2,4
Diarrhea,2,Underlying disease progression,1,1,0,2,1
Diarrhea,6,Acute condition likely,2,2,1,6,2
Diarrhea,6,Possible infection,3,4,0,6,3
Diarrhea,6,Monitor symptoms,4,0,1,6,4
Diarrhea,6,Requires clinical evaluation,1,3,0,6,1
Diarrhea,6,Chronic condition suspected,2,1,1,6,2
Diarrhea,6,Emergency evaluation needed,3,2,0,6,3
Diarrhea,6,Lifestyle-related issue possible,4,4,1,6,4
Diarrhea,6,Underlying disease progression,1,0,0,6,1
Fatigue,5,Acute condition likely,2,3,1,5,2
Fatigue,5,Possible infection,3,1,0,5,3
Fatigue,5,Monitor symptoms,4,2,1,5,4
Fatigue,5,Requires clinical evaluation,1,4,0,5,1
Fatigue,5,Chronic condition suspected,2,0,1,5,2
Fatigue,5,Emergency evaluation needed,3,3,0,5,3
Fatigue,5,Lifestyle-related issue possible,4,1,1,5,4
Fatigue,5,Underlying disease progression,1,2,0,5,1
Fatigue,1,Acute condition likely,2,4,1,1,2
Fatigue,1,Possible infection,3,0,0,1,3
Fatigue,1,Monitor symptoms,4,3,1,1,4
Fatigue,1,Requires clinical evaluation,1,1,0,1,1
Fatigue,1,Chronic condition suspected,2,2,1,1,2
Fatigue,1,Emergency evaluation needed,3,4,0,1,3
Fatigue,1,Lifestyle-related issue possible,4,0,1,1,4
Fatigue,1,Underlying disease progression,1,3,0,1,1
Fatigue,4,Acute condition likely,2,1,1,4,2
Fatigue,4,Possible infection,3,2,0,4,3
Fatigue,4,Monitor symptoms,4,4,1,4,4
Fatigue,4,Requires clinical evaluation,1,0,0,4,1
Fatigue,4,Chronic condition suspected,2,3,1,4,2
Fatigue,4,Emergency evaluation needed,3,1,0,4,3
Fatigue,4,Lifestyle-related issue possible,4,2,1,4,4
Fatigue,4,Underlying disease progression,1,4,0,4,1
Fatigue,0,Acute condition likely,2,0,1,0,2
Fatigue,0,Possible infection,3,3,0,0,3
Fatigue,0,Monitor symptoms,4,1,1,0,4
Fatigue,0,Requires clinical evaluation,1,2,0,0,1
Fatigue,0,Chronic condition suspected,2,4,1,0,2
Fatigue,0,Emergency evaluation needed,3,0,0,0,3
Fatigue,0,Lifestyle-related issue possible,4,3,1,0,4
Fatigue,0,Underlying disease progression,1,1,0,0,1
Fatigue,3,Acute condition likely,2,2,1,3,2
Fatigue,3,Possible infection,3,4,0,3,3
Fatigue,3,Monitor symptoms,4,0,1,3,4
Fatigue,3,Requires clinical evaluation,1,3,0,3,1
Fatigue,3,Chronic condition suspected,2,1,1,3,2
Fatigue,3,Emergency evaluation needed,3,2,0,3,3
Fatigue,3,Lifestyle-related issue possible,4,4,1,3,4
Fatigue,3,Underlying disease progression,1,0,0,3,1
Fatigue,2,Acute condition likely,2,3,1,2,2
Fatigue,2,Possible infection,3,1,0,2,3
Fatigue,2,Monitor symptoms,4,2,1,2,4
Fatigue,2,Requires clinical evaluation,1,4,0,2,1
Fatigue,2,Chronic condition suspected,2,0,1,2,2
Fatigue,2,Emergency evaluation needed,3,3,0,2,3
Fatigue,2,Lifestyle-related issue possible,4,1,1,2,4
Fatigue,2,Underlying disease progression,1,2,0,2,1
Fatigue,6,Acute condition likely,2,4,1,6,2
Fatigue,6,Possible infection,3,0,0,6,3
Fatigue,6,Monitor symptoms,4,3,1,6,4
Fatigue,6,Requires clinical evaluation,1,1,0,6,1
Fatigue,6,Chronic condition suspected,2,2,1,6,2
Fatigue,6,Emergency evaluation needed,3,4,0,6,3
Fatigue,6,Lifestyle-related issue possible,4,0,1,6,4
Fatigue,6,Underlying disease progression,1,3,0,6,1
Breathlessness,5,Acute condition likely,2,1,1,5,2
Breathlessness,5,Possible infection,3,2,0,5,3
Breathlessness,5,Monitor symptoms,4,4,1,5,4
Breathlessness,5,Requires clinical evaluation,1,0,0,5,1
Breathlessness,5,Chronic condition suspected,2,3,1,5,2
Breathlessness,5,Emergency evaluation needed,3,1,0,5,3
Breathlessness,5,Lifestyle-related issue possible,4,2,1,5,4
Breathlessness,5,Underlying disease progression,1,4,0,5,1
Breathlessness,1,Acute condition likely,2,0,1,1,2
Breathlessness,1,Possible infection,3,3,0,1,3
Breathlessness,1,Monitor symptoms,4,1,1,1,4
Breathlessness,1,Requires clinical evaluation,1,2,0,1,1
Breathlessness,1,Chronic condition suspected,2,4,1,1,2
Breathlessness,1,Emergency evaluation needed,3,0,0,1,3
Breathlessness,1,Lifestyle-related issue possible,4,3,1,1,4
Breathlessness,1,Underlying disease progression,1,1,0,1,1
Breathlessness,4,Acute condition likely,2,2,1,4,2
Breathlessness,4,Possible infection,3,4,0,4,3
Breathlessness,4,Monitor symptoms,4,0,1,4,4
Breathlessness,4,Requires clinical evaluation,1,3,0,4,1
Breathlessness,4,Chronic condition suspected,2,1,1,4,2
Breathlessness,4,Emergency evaluation needed,3,2,0,4,3
Breathlessness,4,Lifestyle-related issue possible,4,4,1,4,4
Breathlessness,4,Underlying disease progression,1,0,0,4,1
Breathlessness,0,Acute condition likely,2,3,1,0,2
Breathlessness,0,Possible infection,3,1,0,0,3
Breathlessness,0,Monitor symptoms,4,2,1,0,4
Breathlessness,0,Requires clinical evaluation,1,4,0,0,1
Breathlessness,0,Chronic condition suspected,2,0,1,0,2
Breathlessness,0,Emergency evaluation needed,3,3,0,0,3
Breathlessness,0,Lifestyle-related issue possible,4,1,1,0,4
Breathlessness,0,Underlying disease progression,1,2,0,0,1
Breathlessness,3,Acute condition likely,2,4,1,3,2
Breathlessness,3,Possible infection,3,0,0,3,3
Breathlessness,3,Monitor symptoms,4,3,1,3,4
Breathlessness,3,Requires clinical evaluation,1,1,0,3,1
Breathlessness,3,Chronic condition suspected,2,2,1,3,2
Breathlessness,3,Emergency evaluation needed,3,4,0,3,3
Breathlessness,3,Lifestyle-related issue possible,4,0,1,3,4
Breathlessness,3,Underlying disease progression,1,3,0,3,1
Breathlessness,2,Acute condition likely,2,1,1,2,2
Breathlessness,2,Possible infection,3,2,0,2,3
Breathlessness,2,Monitor symptoms,4,4,1,2,4
Breathlessness,2,Requires clinical evaluation,1,0,0,2,1
Breathlessness,2,Chronic condition suspected,2,3,1,2,2
Breathlessness,2,Emergency evaluation needed,3,1,0,2,3
Breathlessness,2,Lifestyle-related issue possible,4,2,1,2,4
Breathlessness,2,Underlying disease progression,1,4,0,2,1
Breathlessness,6,Acute condition likely,2,0,1,6,2
Breathlessness,6,Possible infection,3,3,0,6,3
Breathlessness,6,Monitor symptoms,4,1,1,6,4
Breathlessness,6,Requires clinical evaluation,1,2,0,6,1
Breathlessness,6,Chronic condition suspected,2,4,1,6,2
Breathlessness,6,Emergency evaluation needed,3,0,0,6,3
Breathlessness,6,Lifestyle-related issue possible,4,3,1,6,4
