disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Hepatitis D, Jaundice",Travel history
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, fatigue +  mood_swings,"Hyperthyroidism, Arthritis, Drug Reaction",Breathlessness
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, joint_pain +  vomiting,"Hepatitis E, Tuberculosis, Varicose veins",CBC test
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, fatigue +  cough,"Bronchial Asthma, GERD, Hypothyroidism",Platelet count
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, joint_pain +  neck_pain,"Osteoarthristis, Hyperthyroidism, Allergy",Platelet count
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, joint_pain +  neck_pain,"Osteoarthristis, Alcoholic hepatitis, GERD",Platelet count
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, muscle_wasting +  patches_in_throat,"AIDS, Diabetes , Migraine",Symptom duration
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, fatigue +  cough,"Bronchial Asthma, Heart attack, Typhoid",Oxygen saturation
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Common Cold, Hypoglycemia",PCR confirmation
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, headache, nausea, joint_pain +  neck_pain,"Osteoarthristis, Psoriasis, Chicken pox",Inflammatory markers
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance, headache, nausea, chills +  vomiting,"Malaria, Dengue, Arthritis",Platelet count
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance, headache, nausea, vomiting +  fatigue,"Tuberculosis, Alcoholic hepatitis, (vertigo) Paroymsal  Positional Vertigo",CBC test
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance, headache, nausea, fatigue +  yellowish_skin,"Hepatitis C, Drug Reaction, Osteoarthristis",Chest pain pattern
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, headache, nausea, chills +  vomiting,"Tuberculosis, Drug Reaction, Osteoarthristis",Platelet count
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, skin_rash +  pus_filled_pimples,"Acne, Typhoid, Pneumonia",PCR confirmation
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, headache, nausea, chills +  vomiting,"Malaria, Hepatitis C, Hypertension ",Breathlessness
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance, headache, nausea, fatigue +  cramps,"Varicose veins, Hepatitis D",Oxygen saturation
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea, chills +  vomiting,"Typhoid, Paralysis (brain hemorrhage), Arthritis",Oxygen saturation
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea,itching +  fatigue,"Hepatitis B, Varicose veins, Hypoglycemia",Symptom duration
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, chills +  fatigue,"Pneumonia, Urinary tract infection, Dengue",Travel history
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, skin_rash +  blister,"Impetigo, Hypertension , Psoriasis",Oxygen saturation
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, high_fever, headache, nausea, vomiting +  indigestion,"Peptic ulcer diseae, Dengue",CBC test
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, high_fever, headache, nausea, fatigue +  weight_gain,"Hypothyroidism, Urinary tract infection, Osteoarthristis",Breathlessness
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea, skin_rash +  joint_pain,"Psoriasis, Bronchial Asthma, AIDS",CBC test
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, chills +  vomiting,"Malaria, Cervical spondylosis, Acne",Oxygen saturation
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, joint_pain +  neck_pain,"Osteoarthristis, Hepatitis E, Tuberculosis",Symptom duration
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, high_fever, headache, nausea, fatigue +  weight_gain,"Hypothyroidism, Dengue, (vertigo) Paroymsal  Positional Vertigo",Platelet count
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, stomach_pain +  acidity,"GERD, Heart attack, Dengue",Oxygen saturation
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Psoriasis",Symptom duration
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, chills +  fatigue,"Pneumonia, Diabetes , (vertigo) Paroymsal  Positional Vertigo",CBC test
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, chills +  fatigue,"Pneumonia, GERD, Alcoholic hepatitis",Platelet count
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, fatigue +  yellowish_skin,"Hepatitis C, Impetigo, Psoriasis",Platelet count
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, skin_rash +  joint_pain,"Psoriasis, Tuberculosis",PCR confirmation
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, muscle_wasting +  patches_in_throat,"AIDS, Chronic cholestasis, Hepatitis B",Symptom duration
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Gastroenteritis, Hypothyroidism",Platelet count
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, fatigue +  mood_swings,"Hyperthyroidism, Jaundice, Impetigo",Breathlessness
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, skin_rash +  high_fever,"Impetigo, Gastroenteritis, Pneumonia",Chest pain pattern
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, fatigue +  cramps,"Varicose veins, Common Cold, Arthritis",Platelet count
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, skin_rash +  joint_pain,"Psoriasis, Urinary tract infection, Hypothyroidism",Platelet count
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, skin_rash +  high_fever,"Impetigo, hepatitis A, Hypertension ",Chest pain pattern
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, vomiting +  yellowish_skin,"Alcoholic hepatitis, Paralysis (brain hemorrhage), Common Cold",Breathlessness
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, joint_pain +  vomiting,"Hepatitis E, Hepatitis C, Pneumonia",Breathlessness
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, fatigue +  cough,"Bronchial Asthma, Dimorphic hemmorhoids(piles), Varicose veins",Chest pain pattern
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, chills +  vomiting,"Typhoid, Allergy, Cervical spondylosis",Platelet count
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Psoriasis",Breathlessness
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, fatigue +  cramps,"Varicose veins, Hyperthyroidism, Drug Reaction",Chest pain pattern
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, fatigue +  mood_swings,"Hyperthyroidism, Jaundice, Typhoid",Breathlessness
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, vomiting +  fatigue,"Hypoglycemia, Hepatitis B, Malaria",Platelet count
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite,itching +  skin_rash,"Fungal infection, Drug Reaction, Hepatitis E",PCR confirmation
