risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
Alcohol Use,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Hormonal Disorder,High,No,Medical,Immediate Attention
Alcohol Use,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Obesity,Heart Disease,Low,No,Genetic,Moderate Monitoring
Obesity,Heart Disease,Medium,Yes,Environmental,High Monitoring
Obesity,Heart Disease,High,No,Medical,Immediate Attention
Obesity,Heart Disease,Critical,Yes,Lifestyle,Preventive
Obesity,Diabetes,Low,No,Genetic,Moderate Monitoring
Obesity,Diabetes,Medium,Yes,Environmental,High Monitoring
Obesity,Diabetes,High,No,Medical,Immediate Attention
Obesity,Diabetes,Critical,Yes,Lifestyle,Preventive
Obesity,Hypertension,Low,No,Genetic,Moderate Monitoring
Obesity,Hypertension,Medium,Yes,Environmental,High Monitoring
Obesity,Hypertension,High,No,Medical,Immediate Attention
Obesity,Hypertension,Critical,Yes,Lifestyle,Preventive
Obesity,Stroke,Low,No,Genetic,Moderate Monitoring
Obesity,Stroke,Medium,Yes,Environmental,High Monitoring
Obesity,Stroke,High,No,Medical,Immediate Attention
Obesity,Stroke,Critical,Yes,Lifestyle,Preventive
Obesity,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Obesity,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Obesity,Kidney Disease,High,No,Medical,Immediate Attention
Obesity,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Obesity,Liver Disease,Low,No,Genetic,Moderate Monitoring
Obesity,Liver Disease,Medium,Yes,Environmental,High Monitoring
Obesity,Liver Disease,High,No,Medical,Immediate Attention
Obesity,Liver Disease,Critical,Yes,Lifestyle,Preventive
Obesity,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Obesity,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Obesity,Respiratory Disorder,High,No,Medical,Immediate Attention
Obesity,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Obesity,Cancer,Low,No,Genetic,Moderate Monitoring
Obesity,Cancer,Medium,Yes,Environmental,High Monitoring
Obesity,Cancer,High,No,Medical,Immediate Attention
Obesity,Cancer,Critical,Yes,Lifestyle,Preventive
Obesity,Obesity,Low,No,Genetic,Moderate Monitoring
Obesity,Obesity,Medium,Yes,Environmental,High Monitoring
Obesity,Obesity,High,No,Medical,Immediate Attention
Obesity,Obesity,Critical,Yes,Lifestyle,Preventive
Obesity,Depression,Low,No,Genetic,Moderate Monitoring
Obesity,Depression,Medium,Yes,Environmental,High Monitoring
Obesity,Depression,High,No,Medical,Immediate Attention
Obesity,Depression,Critical,Yes,Lifestyle,Preventive
Obesity,Anxiety,Low,No,Genetic,Moderate Monitoring
Obesity,Anxiety,Medium,Yes,Environmental,High Monitoring
Obesity,Anxiety,High,No,Medical,Immediate Attention
Obesity,Anxiety,Critical,Yes,Lifestyle,Preventive
Obesity,Infection Risk,Low,No,Genetic,Moderate Monitoring
Obesity,Infection Risk,Medium,Yes,Environmental,High Monitoring
Obesity,Infection Risk,High,No,Medical,Immediate Attention
Obesity,Infection Risk,Critical,Yes,Lifestyle,Preventive
Obesity,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Obesity,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Obesity,Metabolic Disorder,High,No,Medical,Immediate Attention
Obesity,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Obesity,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Obesity,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Obesity,Autoimmune Disease,High,No,Medical,Immediate Attention
Obesity,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Obesity,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Obesity,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Obesity,Hormonal Disorder,High,No,Medical,Immediate Attention
Obesity,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Heart Disease,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Heart Disease,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Heart Disease,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Heart Disease,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Diabetes,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Diabetes,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Diabetes,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Diabetes,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Hypertension,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Hypertension,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Hypertension,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Hypertension,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Stroke,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Stroke,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Stroke,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Stroke,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Kidney Disease,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Liver Disease,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Liver Disease,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Liver Disease,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Liver Disease,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Respiratory Disorder,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Cancer,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Cancer,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Cancer,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Cancer,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Obesity,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Obesity,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Obesity,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Obesity,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Depression,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Depression,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Depression,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Depression,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Anxiety,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Anxiety,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Anxiety,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Anxiety,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Infection Risk,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Infection Risk,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Infection Risk,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Infection Risk,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Metabolic Disorder,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Autoimmune Disease,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Sedentary Lifestyle,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Sedentary Lifestyle,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Sedentary Lifestyle,Hormonal Disorder,High,No,Medical,Immediate Attention
Sedentary Lifestyle,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Heart Disease,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Heart Disease,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Heart Disease,High,No,Medical,Immediate Attention
High Cholesterol,Heart Disease,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Diabetes,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Diabetes,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Diabetes,High,No,Medical,Immediate Attention
High Cholesterol,Diabetes,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Hypertension,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Hypertension,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Hypertension,High,No,Medical,Immediate Attention
High Cholesterol,Hypertension,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Stroke,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Stroke,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Stroke,High,No,Medical,Immediate Attention
High Cholesterol,Stroke,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Kidney Disease,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Kidney Disease,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Kidney Disease,High,No,Medical,Immediate Attention
High Cholesterol,Kidney Disease,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Liver Disease,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Liver Disease,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Liver Disease,High,No,Medical,Immediate Attention
High Cholesterol,Liver Disease,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Respiratory Disorder,High,No,Medical,Immediate Attention
High Cholesterol,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Cancer,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Cancer,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Cancer,High,No,Medical,Immediate Attention
High Cholesterol,Cancer,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Obesity,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Obesity,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Obesity,High,No,Medical,Immediate Attention
High Cholesterol,Obesity,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Depression,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Depression,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Depression,High,No,Medical,Immediate Attention
High Cholesterol,Depression,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Anxiety,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Anxiety,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Anxiety,High,No,Medical,Immediate Attention
High Cholesterol,Anxiety,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Infection Risk,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Infection Risk,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Infection Risk,High,No,Medical,Immediate Attention
High Cholesterol,Infection Risk,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Metabolic Disorder,High,No,Medical,Immediate Attention
High Cholesterol,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Autoimmune Disease,High,No,Medical,Immediate Attention
High Cholesterol,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
High Cholesterol,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
High Cholesterol,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
High Cholesterol,Hormonal Disorder,High,No,Medical,Immediate Attention
