symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Breathlessness,Does it affect daily activities?,Impact,Yes/No,Low,Neurology,Yes
Breathlessness,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,GI,No
Chest Pain,Since how many days?,Duration,Numeric,High,Endocrine,Yes
Chest Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,MSK,No
Chest Pain,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chest Pain,When did it start worsening?,Progression,Numeric,High,Emergency,No
Chest Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Low,General,Yes
Chest Pain,Triggered by activity?,Trigger,Yes/No,Medium,Respiratory,No
Chest Pain,Localized or widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Chest Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Chest Pain,Does it affect daily activities?,Impact,Yes/No,Medium,GI,Yes
Chest Pain,Any emergency warning signs?,Emergency Flag,Yes/No,High,Endocrine,No
Headache,Since how many days?,Duration,Numeric,Low,MSK,Yes
Headache,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Headache,How frequently does it occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Headache,When did it start worsening?,Progression,Numeric,Low,General,No
Headache,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Headache,Triggered by activity?,Trigger,Yes/No,High,Cardiac,No
Headache,Localized or widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Headache,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,GI,No
Headache,Does it affect daily activities?,Impact,Yes/No,High,Endocrine,Yes
Headache,Any emergency warning signs?,Emergency Flag,Yes/No,Low,MSK,No
Dizziness,Since how many days?,Duration,Numeric,Medium,Dermatology,Yes
Dizziness,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Dizziness,How frequently does it occur?,Frequency,Occasional/Frequent,Low,General,Yes
Dizziness,When did it start worsening?,Progression,Numeric,Medium,Respiratory,No
Dizziness,Any associated symptoms present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Dizziness,Triggered by activity?,Trigger,Yes/No,Low,Neurology,No
Dizziness,Localized or widespread?,Location,Localized/Diffuse,Medium,GI,Yes
Dizziness,Constant or intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Dizziness,Does it affect daily activities?,Impact,Yes/No,Low,MSK,Yes
Dizziness,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Nausea,Since how many days?,Duration,Numeric,High,Emergency,Yes
Nausea,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,General,No
Nausea,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Nausea,When did it start worsening?,Progression,Numeric,High,Cardiac,No
Nausea,Any associated symptoms present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Nausea,Triggered by activity?,Trigger,Yes/No,Medium,GI,No
Nausea,Localized or widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Nausea,Constant or intermittent?,Pattern,Constant/Intermittent,Low,MSK,No
Nausea,Does it affect daily activities?,Impact,Yes/No,Medium,Dermatology,Yes
Nausea,Any emergency warning signs?,Emergency Flag,Yes/No,High,Emergency,No
Vomiting,Since how many days?,Duration,Numeric,Low,General,Yes
Vomiting,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Vomiting,How frequently does it occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Vomiting,When did it start worsening?,Progression,Numeric,Low,Neurology,No
Vomiting,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,GI,Yes
Vomiting,Triggered by activity?,Trigger,Yes/No,High,Endocrine,No
Vomiting,Localized or widespread?,Location,Localized/Diffuse,Low,MSK,Yes
Vomiting,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Vomiting,Does it affect daily activities?,Impact,Yes/No,High,Emergency,Yes
Vomiting,Any emergency warning signs?,Emergency Flag,Yes/No,Low,General,No
Diarrhea,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Diarrhea,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Diarrhea,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Diarrhea,When did it start worsening?,Progression,Numeric,Medium,GI,No
Diarrhea,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Diarrhea,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Diarrhea,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Diarrhea,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Diarrhea,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Diarrhea,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Constipation,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Constipation,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Constipation,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Constipation,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Constipation,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Constipation,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Constipation,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Constipation,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Constipation,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Constipation,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Abdominal Pain,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Abdominal Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Abdominal Pain,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Abdominal Pain,When did it start worsening?,Progression,Numeric,Low,MSK,No
Abdominal Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Abdominal Pain,Triggered by activity?,Trigger,Yes/No,High,Emergency,No
Abdominal Pain,Localized or widespread?,Location,Localized/Diffuse,Low,General,Yes
Abdominal Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Abdominal Pain,Does it affect daily activities?,Impact,Yes/No,High,Cardiac,Yes
Abdominal Pain,Any emergency warning signs?,Emergency Flag,Yes/No,Low,Neurology,No
Back Pain,Since how many days?,Duration,Numeric,Medium,GI,Yes
Back Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Back Pain,How frequently does it occur?,Frequency,Occasional/Frequent,Low,MSK,Yes
Back Pain,When did it start worsening?,Progression,Numeric,Medium,Dermatology,No
Back Pain,Any associated symptoms present?,Associated Symptom,Yes/No,High,Emergency,Yes
Back Pain,Triggered by activity?,Trigger,Yes/No,Low,General,No
Back Pain,Localized or widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Back Pain,Constant or intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Back Pain,Does it affect daily activities?,Impact,Yes/No,Low,Neurology,Yes
Back Pain,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,GI,No
Joint Pain,Since how many days?,Duration,Numeric,High,Endocrine,Yes
Joint Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,MSK,No
Joint Pain,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Joint Pain,When did it start worsening?,Progression,Numeric,High,Emergency,No
Joint Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Low,General,Yes
Joint Pain,Triggered by activity?,Trigger,Yes/No,Medium,Respiratory,No
Joint Pain,Localized or widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Joint Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Joint Pain,Does it affect daily activities?,Impact,Yes/No,Medium,GI,Yes
Joint Pain,Any emergency warning signs?,Emergency Flag,Yes/No,High,Endocrine,No
Muscle Pain,Since how many days?,Duration,Numeric,Low,MSK,Yes
Muscle Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Muscle Pain,How frequently does it occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Muscle Pain,When did it start worsening?,Progression,Numeric,Low,General,No
Muscle Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Muscle Pain,Triggered by activity?,Trigger,Yes/No,High,Cardiac,No
Muscle Pain,Localized or widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Muscle Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,GI,No
Muscle Pain,Does it affect daily activities?,Impact,Yes/No,High,Endocrine,Yes
Muscle Pain,Any emergency warning signs?,Emergency Flag,Yes/No,Low,MSK,No
Palpitations,Since how many days?,Duration,Numeric,Medium,Dermatology,Yes
Palpitations,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Palpitations,How frequently does it occur?,Frequency,Occasional/Frequent,Low,General,Yes
Palpitations,When did it start worsening?,Progression,Numeric,Medium,Respiratory,No
Palpitations,Any associated symptoms present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Palpitations,Triggered by activity?,Trigger,Yes/No,Low,Neurology,No
Palpitations,Localized or widespread?,Location,Localized/Diffuse,Medium,GI,Yes
Palpitations,Constant or intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Palpitations,Does it affect daily activities?,Impact,Yes/No,Low,MSK,Yes
Palpitations,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Leg Swelling,Since how many days?,Duration,Numeric,High,Emergency,Yes
Leg Swelling,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,General,No
Leg Swelling,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Leg Swelling,When did it start worsening?,Progression,Numeric,High,Cardiac,No
Leg Swelling,Any associated symptoms present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Leg Swelling,Triggered by activity?,Trigger,Yes/No,Medium,GI,No
Leg Swelling,Localized or widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Leg Swelling,Constant or intermittent?,Pattern,Constant/Intermittent,Low,MSK,No
Leg Swelling,Does it affect daily activities?,Impact,Yes/No,Medium,Dermatology,Yes
Leg Swelling,Any emergency warning signs?,Emergency Flag,Yes/No,High,Emergency,No
Syncope,Since how many days?,Duration,Numeric,Low,General,Yes
Syncope,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Syncope,How frequently does it occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Syncope,When did it start worsening?,Progression,Numeric,Low,Neurology,No
Syncope,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,GI,Yes
Syncope,Triggered by activity?,Trigger,Yes/No,High,Endocrine,No
Syncope,Localized or widespread?,Location,Localized/Diffuse,Low,MSK,Yes
Syncope,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Syncope,Does it affect daily activities?,Impact,Yes/No,High,Emergency,Yes
Syncope,Any emergency warning signs?,Emergency Flag,Yes/No,Low,General,No
Wheezing,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Wheezing,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Wheezing,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Wheezing,When did it start worsening?,Progression,Numeric,Medium,GI,No
Wheezing,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Wheezing,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Wheezing,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Wheezing,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Wheezing,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Wheezing,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Sore Throat,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Sore Throat,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Sore Throat,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Sore Throat,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Sore Throat,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Sore Throat,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Sore Throat,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Sore Throat,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Sore Throat,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Sore Throat,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Runny Nose,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Runny Nose,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Runny Nose,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Runny Nose,When did it start worsening?,Progression,Numeric,Low,MSK,No
Runny Nose,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Runny Nose,Triggered by activity?,Trigger,Yes/No,High,Emergency,No
Runny Nose,Localized or widespread?,Location,Localized/Diffuse,Low,General,Yes
Runny Nose,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Runny Nose,Does it affect daily activities?,Impact,Yes/No,High,Cardiac,Yes
Runny Nose,Any emergency warning signs?,Emergency Flag,Yes/No,Low,Neurology,No
Nasal Congestion,Since how many days?,Duration,Numeric,Medium,GI,Yes
Nasal Congestion,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Nasal Congestion,How frequently does it occur?,Frequency,Occasional/Frequent,Low,MSK,Yes
Nasal Congestion,When did it start worsening?,Progression,Numeric,Medium,Dermatology,No
Nasal Congestion,Any associated symptoms present?,Associated Symptom,Yes/No,High,Emergency,Yes
Nasal Congestion,Triggered by activity?,Trigger,Yes/No,Low,General,No
Nasal Congestion,Localized or widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Nasal Congestion,Constant or intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Nasal Congestion,Does it affect daily activities?,Impact,Yes/No,Low,Neurology,Yes
Nasal Congestion,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,GI,No
Chills,Since how many days?,Duration,Numeric,High,Endocrine,Yes
Chills,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,MSK,No
Chills,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chills,When did it start worsening?,Progression,Numeric,High,Emergency,No
Chills,Any associated symptoms present?,Associated Symptom,Yes/No,Low,General,Yes
Chills,Triggered by activity?,Trigger,Yes/No,Medium,Respiratory,No
Chills,Localized or widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Chills,Constant or intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Chills,Does it affect daily activities?,Impact,Yes/No,Medium,GI,Yes
Chills,Any emergency warning signs?,Emergency Flag,Yes/No,High,Endocrine,No
Night Sweats,Since how many days?,Duration,Numeric,Low,MSK,Yes
Night Sweats,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Night Sweats,How frequently does it occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Night Sweats,When did it start worsening?,Progression,Numeric,Low,General,No
Night Sweats,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Night Sweats,Triggered by activity?,Trigger,Yes/No,High,Cardiac,No
Night Sweats,Localized or widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Night Sweats,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,GI,No
Night Sweats,Does it affect daily activities?,Impact,Yes/No,High,Endocrine,Yes
Night Sweats,Any emergency warning signs?,Emergency Flag,Yes/No,Low,MSK,No
Weight Loss,Since how many days?,Duration,Numeric,Medium,Dermatology,Yes
Weight Loss,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Weight Loss,How frequently does it occur?,Frequency,Occasional/Frequent,Low,General,Yes
Weight Loss,When did it start worsening?,Progression,Numeric,Medium,Respiratory,No
Weight Loss,Any associated symptoms present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Weight Loss,Triggered by activity?,Trigger,Yes/No,Low,Neurology,No
Weight Loss,Localized or widespread?,Location,Localized/Diffuse,Medium,GI,Yes
Weight Loss,Constant or intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Weight Loss,Does it affect daily activities?,Impact,Yes/No,Low,MSK,Yes
Weight Loss,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Loss of Appetite,Since how many days?,Duration,Numeric,High,Emergency,Yes
Loss of Appetite,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,General,No
Loss of Appetite,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Loss of Appetite,When did it start worsening?,Progression,Numeric,High,Cardiac,No
Loss of Appetite,Any associated symptoms present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Loss of Appetite,Triggered by activity?,Trigger,Yes/No,Medium,GI,No
Loss of Appetite,Localized or widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Loss of Appetite,Constant or intermittent?,Pattern,Constant/Intermittent,Low,MSK,No
Loss of Appetite,Does it affect daily activities?,Impact,Yes/No,Medium,Dermatology,Yes
Loss of Appetite,Any emergency warning signs?,Emergency Flag,Yes/No,High,Emergency,No
Weakness,Since how many days?,Duration,Numeric,Low,General,Yes
Weakness,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Weakness,How frequently does it occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Weakness,When did it start worsening?,Progression,Numeric,Low,Neurology,No
Weakness,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,GI,Yes
Weakness,Triggered by activity?,Trigger,Yes/No,High,Endocrine,No
Weakness,Localized or widespread?,Location,Localized/Diffuse,Low,MSK,Yes
Weakness,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Weakness,Does it affect daily activities?,Impact,Yes/No,High,Emergency,Yes
Weakness,Any emergency warning signs?,Emergency Flag,Yes/No,Low,General,No
Confusion,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Confusion,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Confusion,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Confusion,When did it start worsening?,Progression,Numeric,Medium,GI,No
Confusion,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Confusion,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Confusion,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Confusion,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Confusion,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Confusion,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Memory Loss,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Memory Loss,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Memory Loss,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Memory Loss,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Memory Loss,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Memory Loss,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Memory Loss,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Memory Loss,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Memory Loss,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Memory Loss,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Seizure,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Seizure,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Seizure,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Seizure,When did it start worsening?,Progression,Numeric,Low,MSK,No
Seizure,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Seizure,Triggered by activity?,Trigger,Yes/No,High,Emergency,No
Seizure,Localized or widespread?,Location,Localized/Diffuse,Low,General,Yes
Seizure,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Seizure,Does it affect daily activities?,Impact,Yes/No,High,Cardiac,Yes
Seizure,Any emergency warning signs?,Emergency Flag,Yes/No,Low,Neurology,No
Numbness,Since how many days?,Duration,Numeric,Medium,GI,Yes
Numbness,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Numbness,How frequently does it occur?,Frequency,Occasional/Frequent,Low,MSK,Yes
Numbness,When did it start worsening?,Progression,Numeric,Medium,Dermatology,No
Numbness,Any associated symptoms present?,Associated Symptom,Yes/No,High,Emergency,Yes
Numbness,Triggered by activity?,Trigger,Yes/No,Low,General,No
Numbness,Localized or widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Numbness,Constant or intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Numbness,Does it affect daily activities?,Impact,Yes/No,Low,Neurology,Yes
Numbness,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,GI,No
Tingling,Since how many days?,Duration,Numeric,High,Endocrine,Yes
Tingling,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,MSK,No
Tingling,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Tingling,When did it start worsening?,Progression,Numeric,High,Emergency,No
Tingling,Any associated symptoms present?,Associated Symptom,Yes/No,Low,General,Yes
Tingling,Triggered by activity?,Trigger,Yes/No,Medium,Respiratory,No
Tingling,Localized or widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Tingling,Constant or intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Tingling,Does it affect daily activities?,Impact,Yes/No,Medium,GI,Yes
Tingling,Any emergency warning signs?,Emergency Flag,Yes/No,High,Endocrine,No
Tremor,Since how many days?,Duration,Numeric,Low,MSK,Yes
Tremor,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Tremor,How frequently does it occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Tremor,When did it start worsening?,Progression,Numeric,Low,General,No
Tremor,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Tremor,Triggered by activity?,Trigger,Yes/No,High,Cardiac,No
Tremor,Localized or widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Tremor,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,GI,No
Tremor,Does it affect daily activities?,Impact,Yes/No,High,Endocrine,Yes
Tremor,Any emergency warning signs?,Emergency Flag,Yes/No,Low,MSK,No
Facial Droop,Since how many days?,Duration,Numeric,Medium,Dermatology,Yes
Facial Droop,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Facial Droop,How frequently does it occur?,Frequency,Occasional/Frequent,Low,General,Yes
Facial Droop,When did it start worsening?,Progression,Numeric,Medium,Respiratory,No
Facial Droop,Any associated symptoms present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Facial Droop,Triggered by activity?,Trigger,Yes/No,Low,Neurology,No
Facial Droop,Localized or widespread?,Location,Localized/Diffuse,Medium,GI,Yes
Facial Droop,Constant or intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Facial Droop,Does it affect daily activities?,Impact,Yes/No,Low,MSK,Yes
Facial Droop,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Blurred Vision,Since how many days?,Duration,Numeric,High,Emergency,Yes
Blurred Vision,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,General,No
Blurred Vision,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Blurred Vision,When did it start worsening?,Progression,Numeric,High,Cardiac,No
Blurred Vision,Any associated symptoms present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Blurred Vision,Triggered by activity?,Trigger,Yes/No,Medium,GI,No
Blurred Vision,Localized or widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Blurred Vision,Constant or intermittent?,Pattern,Constant/Intermittent,Low,MSK,No
Blurred Vision,Does it affect daily activities?,Impact,Yes/No,Medium,Dermatology,Yes
Blurred Vision,Any emergency warning signs?,Emergency Flag,Yes/No,High,Emergency,No
