disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Idiopathic Cardiac Syndrome 14,Idiopathic Cardiac Syndrome 14 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Uncommon,Lifestyle
Primary Cardiac Syndrome 15,Primary Cardiac Syndrome 15 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Neurological complications,Rare,Diagnostics
Secondary Cardiac Syndrome 16,Secondary Cardiac Syndrome 16 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Organ dysfunction,Common,Specialist Referral
Progressive Cardiac Syndrome 17,Progressive Cardiac Syndrome 17 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Secondary infection,Uncommon,Medication
Congenital Cardiac Syndrome 18,Congenital Cardiac Syndrome 18 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Inflammation complications,Rare,Lifestyle
Inflammatory Cardiac Syndrome 19,Inflammatory Cardiac Syndrome 19 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Common,Diagnostics
Metabolic Cardiac Syndrome 20,Metabolic Cardiac Syndrome 20 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Uncommon,Specialist Referral
Acute Neurological Syndrome 21,Acute Neurological Syndrome 21 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Rare,Medication
Chronic Neurological Syndrome 22,Chronic Neurological Syndrome 22 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Common,Lifestyle
Autoimmune Neurological Syndrome 23,Autoimmune Neurological Syndrome 23 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Uncommon,Diagnostics
Idiopathic Neurological Syndrome 24,Idiopathic Neurological Syndrome 24 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Rare,Specialist Referral
Primary Neurological Syndrome 25,Primary Neurological Syndrome 25 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Common,Medication
Secondary Neurological Syndrome 26,Secondary Neurological Syndrome 26 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Uncommon,Lifestyle
Progressive Neurological Syndrome 27,Progressive Neurological Syndrome 27 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Rare,Diagnostics
Congenital Neurological Syndrome 28,Congenital Neurological Syndrome 28 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Common,Specialist Referral
Inflammatory Neurological Syndrome 29,Inflammatory Neurological Syndrome 29 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Uncommon,Medication
Metabolic Neurological Syndrome 30,Metabolic Neurological Syndrome 30 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Neurological complications,Rare,Lifestyle
Acute Renal Syndrome 31,Acute Renal Syndrome 31 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Organ dysfunction,Common,Diagnostics
Chronic Renal Syndrome 32,Chronic Renal Syndrome 32 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Secondary infection,Uncommon,Specialist Referral
Autoimmune Renal Syndrome 33,Autoimmune Renal Syndrome 33 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Inflammation complications,Rare,Medication
Idiopathic Renal Syndrome 34,Idiopathic Renal Syndrome 34 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Common,Lifestyle
Primary Renal Syndrome 35,Primary Renal Syndrome 35 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Neurological complications,Uncommon,Diagnostics
Secondary Renal Syndrome 36,Secondary Renal Syndrome 36 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Organ dysfunction,Rare,Specialist Referral
Progressive Renal Syndrome 37,Progressive Renal Syndrome 37 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Secondary infection,Common,Medication
Congenital Renal Syndrome 38,Congenital Renal Syndrome 38 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Inflammation complications,Uncommon,Lifestyle
Inflammatory Renal Syndrome 39,Inflammatory Renal Syndrome 39 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Metabolic imbalance,Rare,Diagnostics
Metabolic Renal Syndrome 40,Metabolic Renal Syndrome 40 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Neurological complications,Common,Specialist Referral
Acute Hepatic Syndrome 41,Acute Hepatic Syndrome 41 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Uncommon,Medication
Chronic Hepatic Syndrome 42,Chronic Hepatic Syndrome 42 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Rare,Lifestyle
Autoimmune Hepatic Syndrome 43,Autoimmune Hepatic Syndrome 43 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Common,Diagnostics
Idiopathic Hepatic Syndrome 44,Idiopathic Hepatic Syndrome 44 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Uncommon,Specialist Referral
Primary Hepatic Syndrome 45,Primary Hepatic Syndrome 45 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Rare,Medication
Secondary Hepatic Syndrome 46,Secondary Hepatic Syndrome 46 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Common,Lifestyle
Progressive Hepatic Syndrome 47,Progressive Hepatic Syndrome 47 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Uncommon,Diagnostics
Congenital Hepatic Syndrome 48,Congenital Hepatic Syndrome 48 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Rare,Specialist Referral
Inflammatory Hepatic Syndrome 49,Inflammatory Hepatic Syndrome 49 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Common,Medication
Metabolic Hepatic Syndrome 50,Metabolic Hepatic Syndrome 50 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Uncommon,Lifestyle
Acute Endocrine Syndrome 51,Acute Endocrine Syndrome 51 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Rare,Diagnostics
Chronic Endocrine Syndrome 52,Chronic Endocrine Syndrome 52 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Common,Specialist Referral
Autoimmune Endocrine Syndrome 53,Autoimmune Endocrine Syndrome 53 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Uncommon,Medication
Idiopathic Endocrine Syndrome 54,Idiopathic Endocrine Syndrome 54 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Rare,Lifestyle
Primary Endocrine Syndrome 55,Primary Endocrine Syndrome 55 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Neurological complications,Common,Diagnostics
Secondary Endocrine Syndrome 56,Secondary Endocrine Syndrome 56 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Organ dysfunction,Uncommon,Specialist Referral
Progressive Endocrine Syndrome 57,Progressive Endocrine Syndrome 57 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Secondary infection,Rare,Medication
Congenital Endocrine Syndrome 58,Congenital Endocrine Syndrome 58 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Inflammation complications,Common,Lifestyle
Inflammatory Endocrine Syndrome 59,Inflammatory Endocrine Syndrome 59 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Uncommon,Diagnostics
Metabolic Endocrine Syndrome 60,Metabolic Endocrine Syndrome 60 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Rare,Specialist Referral
Acute Gastro Syndrome 61,Acute Gastro Syndrome 61 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Common,Medication
Chronic Gastro Syndrome 62,Chronic Gastro Syndrome 62 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Uncommon,Lifestyle
Autoimmune Gastro Syndrome 63,Autoimmune Gastro Syndrome 63 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Rare,Diagnostics
Idiopathic Gastro Syndrome 64,Idiopathic Gastro Syndrome 64 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Common,Specialist Referral
Primary Gastro Syndrome 65,Primary Gastro Syndrome 65 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Uncommon,Medication
Secondary Gastro Syndrome 66,Secondary Gastro Syndrome 66 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Rare,Lifestyle
Progressive Gastro Syndrome 67,Progressive Gastro Syndrome 67 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Common,Diagnostics
Congenital Gastro Syndrome 68,Congenital Gastro Syndrome 68 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Uncommon,Specialist Referral
Inflammatory Gastro Syndrome 69,Inflammatory Gastro Syndrome 69 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Rare,Medication
Metabolic Gastro Syndrome 70,Metabolic Gastro Syndrome 70 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Neurological complications,Common,Lifestyle
Acute Dermatologic Syndrome 71,Acute Dermatologic Syndrome 71 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Organ dysfunction,Uncommon,Diagnostics
Chronic Dermatologic Syndrome 72,Chronic Dermatologic Syndrome 72 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Secondary infection,Rare,Specialist Referral
Autoimmune Dermatologic Syndrome 73,Autoimmune Dermatologic Syndrome 73 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Inflammation complications,Common,Medication
Idiopathic Dermatologic Syndrome 74,Idiopathic Dermatologic Syndrome 74 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Uncommon,Lifestyle
Primary Dermatologic Syndrome 75,Primary Dermatologic Syndrome 75 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Neurological complications,Rare,Diagnostics
Secondary Dermatologic Syndrome 76,Secondary Dermatologic Syndrome 76 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Organ dysfunction,Common,Specialist Referral
Progressive Dermatologic Syndrome 77,Progressive Dermatologic Syndrome 77 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Secondary infection,Uncommon,Medication
Congenital Dermatologic Syndrome 78,Congenital Dermatologic Syndrome 78 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Inflammation complications,Rare,Lifestyle
Inflammatory Dermatologic Syndrome 79,Inflammatory Dermatologic Syndrome 79 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Metabolic imbalance,Common,Diagnostics
Metabolic Dermatologic Syndrome 80,Metabolic Dermatologic Syndrome 80 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Neurological complications,Uncommon,Specialist Referral
Acute Hematologic Syndrome 81,Acute Hematologic Syndrome 81 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Rare,Medication
Chronic Hematologic Syndrome 82,Chronic Hematologic Syndrome 82 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Common,Lifestyle
Autoimmune Hematologic Syndrome 83,Autoimmune Hematologic Syndrome 83 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Uncommon,Diagnostics
Idiopathic Hematologic Syndrome 84,Idiopathic Hematologic Syndrome 84 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Rare,Specialist Referral
Primary Hematologic Syndrome 85,Primary Hematologic Syndrome 85 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Common,Medication
Secondary Hematologic Syndrome 86,Secondary Hematologic Syndrome 86 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Uncommon,Lifestyle
Progressive Hematologic Syndrome 87,Progressive Hematologic Syndrome 87 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Rare,Diagnostics
Congenital Hematologic Syndrome 88,Congenital Hematologic Syndrome 88 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Common,Specialist Referral
Inflammatory Hematologic Syndrome 89,Inflammatory Hematologic Syndrome 89 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Uncommon,Medication
Metabolic Hematologic Syndrome 90,Metabolic Hematologic Syndrome 90 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Rare,Lifestyle
Acute Musculoskeletal Syndrome 91,Acute Musculoskeletal Syndrome 91 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Common,Diagnostics
Chronic Musculoskeletal Syndrome 92,Chronic Musculoskeletal Syndrome 92 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Uncommon,Specialist Referral
Autoimmune Musculoskeletal Syndrome 93,Autoimmune Musculoskeletal Syndrome 93 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Rare,Medication
Idiopathic Musculoskeletal Syndrome 94,Idiopathic Musculoskeletal Syndrome 94 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Common,Lifestyle
Primary Musculoskeletal Syndrome 95,Primary Musculoskeletal Syndrome 95 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Neurological complications,Uncommon,Diagnostics
Secondary Musculoskeletal Syndrome 96,Secondary Musculoskeletal Syndrome 96 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Organ dysfunction,Rare,Specialist Referral
Progressive Musculoskeletal Syndrome 97,Progressive Musculoskeletal Syndrome 97 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Secondary infection,Common,Medication
Congenital Musculoskeletal Syndrome 98,Congenital Musculoskeletal Syndrome 98 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Inflammation complications,Uncommon,Lifestyle
Inflammatory Musculoskeletal Syndrome 99,Inflammatory Musculoskeletal Syndrome 99 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Rare,Diagnostics
Metabolic Musculoskeletal Syndrome 100,Metabolic Musculoskeletal Syndrome 100 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Common,Specialist Referral
Acute Respiratory Disorder 101,Acute Respiratory Disorder 101 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Uncommon,Medication
Chronic Respiratory Disorder 102,Chronic Respiratory Disorder 102 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Rare,Lifestyle
Autoimmune Respiratory Disorder 103,Autoimmune Respiratory Disorder 103 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Common,Diagnostics
Idiopathic Respiratory Disorder 104,Idiopathic Respiratory Disorder 104 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Uncommon,Specialist Referral
Primary Respiratory Disorder 105,Primary Respiratory Disorder 105 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Rare,Medication
Secondary Respiratory Disorder 106,Secondary Respiratory Disorder 106 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Common,Lifestyle
Progressive Respiratory Disorder 107,Progressive Respiratory Disorder 107 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Uncommon,Diagnostics
Congenital Respiratory Disorder 108,Congenital Respiratory Disorder 108 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Rare,Specialist Referral
Inflammatory Respiratory Disorder 109,Inflammatory Respiratory Disorder 109 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Common,Medication
Metabolic Respiratory Disorder 110,Metabolic Respiratory Disorder 110 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Neurological complications,Uncommon,Lifestyle
Acute Cardiac Disorder 111,Acute Cardiac Disorder 111 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Organ dysfunction,Rare,Diagnostics
Chronic Cardiac Disorder 112,Chronic Cardiac Disorder 112 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Secondary infection,Common,Specialist Referral
Autoimmune Cardiac Disorder 113,Autoimmune Cardiac Disorder 113 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Inflammation complications,Uncommon,Medication
Idiopathic Cardiac Disorder 114,Idiopathic Cardiac Disorder 114 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Rare,Lifestyle
Primary Cardiac Disorder 115,Primary Cardiac Disorder 115 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Neurological complications,Common,Diagnostics
Secondary Cardiac Disorder 116,Secondary Cardiac Disorder 116 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Organ dysfunction,Uncommon,Specialist Referral
Progressive Cardiac Disorder 117,Progressive Cardiac Disorder 117 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Secondary infection,Rare,Medication
Congenital Cardiac Disorder 118,Congenital Cardiac Disorder 118 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Inflammation complications,Common,Lifestyle
Inflammatory Cardiac Disorder 119,Inflammatory Cardiac Disorder 119 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Metabolic imbalance,Uncommon,Diagnostics
Metabolic Cardiac Disorder 120,Metabolic Cardiac Disorder 120 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Neurological complications,Rare,Specialist Referral
Acute Neurological Disorder 121,Acute Neurological Disorder 121 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Common,Medication
Chronic Neurological Disorder 122,Chronic Neurological Disorder 122 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Uncommon,Lifestyle
Autoimmune Neurological Disorder 123,Autoimmune Neurological Disorder 123 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Rare,Diagnostics
Idiopathic Neurological Disorder 124,Idiopathic Neurological Disorder 124 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Common,Specialist Referral
Primary Neurological Disorder 125,Primary Neurological Disorder 125 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Uncommon,Medication
Secondary Neurological Disorder 126,Secondary Neurological Disorder 126 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Rare,Lifestyle
Progressive Neurological Disorder 127,Progressive Neurological Disorder 127 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Common,Diagnostics
Congenital Neurological Disorder 128,Congenital Neurological Disorder 128 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Uncommon,Specialist Referral
Inflammatory Neurological Disorder 129,Inflammatory Neurological Disorder 129 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Rare,Medication
Metabolic Neurological Disorder 130,Metabolic Neurological Disorder 130 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Common,Lifestyle
Acute Renal Disorder 131,Acute Renal Disorder 131 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Uncommon,Diagnostics
Chronic Renal Disorder 132,Chronic Renal Disorder 132 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Rare,Specialist Referral
Autoimmune Renal Disorder 133,Autoimmune Renal Disorder 133 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Common,Medication
