id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
12,Bunion,Musculoskeletal,Mild,Child,"bump on big toe joint,  redness",Mild case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Child.,Rest and hydration recommended.
13,Tension Headache,Neurological,Moderate,Male,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Maintain good hygiene.
14,Osteoarthritis,Musculoskeletal,Chronic,Female,"joint pain, stiffness, tenderness, loss of flexibility","Chronic case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Female.",Monitor symptoms closely.
15,Nausea,Digestive,Chronic,General,"feeling sick to stomach, urge to vomit, dizziness",Chronic case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: General.,Prescription medication might be required.
16,Indigestion,Digestive,Severe,General,"upper abdominal pain, bloating, belching, nausea, fatigue, dehydration",Severe case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: General.,Seek immediate medical attention.
17,Strep Throat,Respiratory,Chronic,General,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: General.,Seek immediate medical attention.
18,Fever,General,Chronic,Elderly,"elevated body temperature, sweating, chills, headache","Chronic case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Elderly.",Rest and hydration recommended.
19,Gastroenteritis,Digestive,Acute,Child,"diarrhea, stomach cramps, nausea, vomiting","Acute case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Child.",Seek immediate medical attention.
20,Food Poisoning,Digestive,Acute,General,"nausea, vomiting, watery diarrhea, abdominal pain",Acute case of Food Poisoning. Illness caused by consuming contaminated food. Target demographic: General.,Avoid triggers like spicy food or allergens.
21,Pink Eye,Eyes,Severe,Male,"redness, itching, discharge, tearing, fatigue, dehydration",Severe case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Male.,Apply ice or heat to the affected area.
22,Tension Headache,Neurological,Moderate,General,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: General.",Prescription medication might be required.
23,Osteoarthritis,Musculoskeletal,Chronic,Adult,"joint pain, stiffness, tenderness, loss of flexibility","Chronic case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Adult.",Prescription medication might be required.
24,Hives,Skin,Chronic,Male,"red welts, itching, swelling, burning sensation","Chronic case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Male.",Seek immediate medical attention.
25,Anxiety,Mental Health,Mild,Female,"nervousness,  rapid heart rate","Mild case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Female.",Prescription medication might be required.
26,Nausea,Digestive,Chronic,Adult,"feeling sick to stomach, urge to vomit, dizziness",Chronic case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Adult.,Home remedies can alleviate symptoms.
27,Hemorrhoids,Digestive,Acute,Adult,"rectal bleeding, itching, pain, swelling",Acute case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Adult.,Home remedies can alleviate symptoms.
28,Dehydration,Metabolic,Acute,Elderly,"extreme thirst, dry mouth, dark urine, fatigue",Acute case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: Elderly.,Over-the-counter medication may help.
29,Sinusitis,Respiratory,Severe,Child,"facial pain, thick nasal discharge, headache, cough, fatigue, dehydration",Severe case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Child.,Monitor symptoms closely.
30,Food Poisoning,Digestive,Moderate,Adult,"nausea, vomiting, watery diarrhea, abdominal pain",Moderate case of Food Poisoning. Illness caused by consuming contaminated food. Target demographic: Adult.,Home remedies can alleviate symptoms.
31,Tennis Elbow,Musculoskeletal,Chronic,General,"pain on outer elbow, weak grip, burning sensation","Chronic case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: General.",Prescription medication might be required.
32,Food Poisoning,Digestive,Moderate,Adult,"nausea, vomiting, watery diarrhea, abdominal pain",Moderate case of Food Poisoning. Illness caused by consuming contaminated food. Target demographic: Adult.,Home remedies can alleviate symptoms.
33,Pink Eye,Eyes,Chronic,General,"redness, itching, discharge, tearing",Chronic case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: General.,Seek immediate medical attention.
34,Tennis Elbow,Musculoskeletal,Chronic,Adult,"pain on outer elbow, weak grip, burning sensation","Chronic case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
35,Hypertension,Cardiovascular,Chronic,Female,"headaches, shortness of breath, nosebleeds",Chronic case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
36,Yeast Infection,Reproductive,Moderate,General,"itching, irritation, vaginal discharge, pain during urination","Moderate case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: General.",Avoid triggers like spicy food or allergens.
37,Hemorrhoids,Digestive,Moderate,Male,"rectal bleeding, itching, pain, swelling",Moderate case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Male.,Over-the-counter medication may help.
38,Yeast Infection,Reproductive,Severe,Child,"itching, irritation, vaginal discharge, pain during urination, fatigue, dehydration","Severe case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Child.",Avoid triggers like spicy food or allergens.
39,Lower Back Pain,Musculoskeletal,Acute,General,"pain in lower back, stiffness, reduced range of motion","Acute case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: General.",Maintain good hygiene.
40,Athlete's Foot,Skin,Acute,Child,"scaly rash, itching, stinging, blisters on feet",Acute case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Child.,Apply ice or heat to the affected area.
41,Carpal Tunnel,Musculoskeletal,Chronic,Adult,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Adult.,Maintain good hygiene.
42,Constipation,Digestive,Moderate,Elderly,"infrequent bowel movements, hard stools, straining",Moderate case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
43,Viral Pharyngitis,Respiratory,Chronic,Adult,"sore throat, scratchy throat, difficulty swallowing","Chronic case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Adult.",Home remedies can alleviate symptoms.
44,Constipation,Digestive,Chronic,Adult,"infrequent bowel movements, hard stools, straining",Chronic case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Adult.,Apply ice or heat to the affected area.
45,Strep Throat,Respiratory,Severe,Elderly,"throat pain, fever, swollen lymph nodes, white patches on tonsils, fatigue, dehydration",Severe case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Elderly.,Prescription medication might be required.
46,Insomnia,Mental Health,Moderate,Elderly,"difficulty falling asleep, waking up frequently, daytime tiredness",Moderate case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Elderly.,Home remedies can alleviate symptoms.
47,Influenza B,Respiratory,Moderate,Elderly,"fever, chills, muscle aches, cough, fatigue","Moderate case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Elderly.",Over-the-counter medication may help.
48,Gingivitis,Dental,Mild,Female,"swollen gums,  bleeding gums",Mild case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Home remedies can alleviate symptoms.
49,Osteoarthritis,Musculoskeletal,Acute,Adult,"joint pain, stiffness, tenderness, loss of flexibility","Acute case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Adult.",Seek immediate medical attention.
50,Sunburn,Skin,Chronic,Adult,"red skin, pain, swelling, blisters",Chronic case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Adult.,Prescription medication might be required.
51,Acid Reflux,Digestive,Mild,Elderly,"heartburn,  chest pain",Mild case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Elderly.,Apply ice or heat to the affected area.
52,Strep Throat,Respiratory,Chronic,Female,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Female.,Over-the-counter medication may help.
53,Hypertension,Cardiovascular,Moderate,Child,"headaches, shortness of breath, nosebleeds",Moderate case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Child.,Apply ice or heat to the affected area.
54,Muscle Strain,Musculoskeletal,Moderate,Adult,"sudden pain, swelling, muscle weakness, bruising",Moderate case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Adult.,Home remedies can alleviate symptoms.
55,Laryngitis,Respiratory,Chronic,General,"hoarseness, weak voice, sore throat, dry cough","Chronic case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: General.",Home remedies can alleviate symptoms.
56,Migraine,Neurological,Severe,Child,"severe headache, nausea, sensitivity to light, blurred vision, fatigue, dehydration",Severe case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Child.,Home remedies can alleviate symptoms.
57,Constipation,Digestive,Acute,Female,"infrequent bowel movements, hard stools, straining",Acute case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Female.,Home remedies can alleviate symptoms.
58,Osteoarthritis,Musculoskeletal,Severe,Female,"joint pain, stiffness, tenderness, loss of flexibility, fatigue, dehydration","Severe case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Female.",Avoid triggers like spicy food or allergens.
59,Pink Eye,Eyes,Chronic,Child,"redness, itching, discharge, tearing",Chronic case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Child.,Rest and hydration recommended.
60,Jock Itch,Skin,Chronic,Female,"red, itchy rash in the groin area, burning sensation","Chronic case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Female.",Monitor symptoms closely.
61,Tension Headache,Neurological,Acute,Female,"dull head pain, pressure across forehead, scalp tenderness","Acute case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Female.",Prescription medication might be required.
62,Athlete's Foot,Skin,Moderate,General,"scaly rash, itching, stinging, blisters on feet",Moderate case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
63,Tension Headache,Neurological,Chronic,Male,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Home remedies can alleviate symptoms.
64,Heartburn,Digestive,Moderate,Adult,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Moderate case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Adult.",Rest and hydration recommended.
65,Constipation,Digestive,Severe,Adult,"infrequent bowel movements, hard stools, straining, fatigue, dehydration",Severe case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Adult.,Monitor symptoms closely.
66,Menstrual Cramps,Reproductive,Acute,Adult,"throbbing pain in lower abdomen, nausea, headache",Acute case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Adult.,Rest and hydration recommended.
67,Jock Itch,Skin,Moderate,Child,"red, itchy rash in the groin area, burning sensation","Moderate case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Child.",Monitor symptoms closely.
68,Tension Headache,Neurological,Moderate,Female,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Female.",Monitor symptoms closely.
69,Hemorrhoids,Digestive,Chronic,Female,"rectal bleeding, itching, pain, swelling",Chronic case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Female.,Prescription medication might be required.
70,Strep Throat,Respiratory,Chronic,Female,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
71,Fever,General,Acute,Adult,"elevated body temperature, sweating, chills, headache","Acute case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Adult.",Maintain good hygiene.
72,Migraine,Neurological,Mild,Male,"severe headache,  nausea",Mild case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Male.,Avoid triggers like spicy food or allergens.
73,Lower Back Pain,Musculoskeletal,Acute,Female,"pain in lower back, stiffness, reduced range of motion","Acute case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: Female.",Over-the-counter medication may help.
74,Allergic Rhinitis,Immune,Acute,General,"sneezing, runny nose, itchy eyes, congestion",Acute case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: General.,Rest and hydration recommended.
75,Canker Sore,Dental,Severe,Male,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Male.",Home remedies can alleviate symptoms.
76,Motion Sickness,Neurological,Mild,Adult,"nausea,  vomiting","Mild case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Adult.",Prescription medication might be required.
77,Motion Sickness,Neurological,Severe,Elderly,"nausea, vomiting, dizziness, cold sweats, fatigue, dehydration","Severe case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Elderly.",Apply ice or heat to the affected area.
78,Constipation,Digestive,Mild,Male,"infrequent bowel movements,  hard stools",Mild case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Male.,Prescription medication might be required.
79,Hemorrhoids,Digestive,Mild,Male,"rectal bleeding,  itching",Mild case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Male.,Maintain good hygiene.
80,Tennis Elbow,Musculoskeletal,Severe,Adult,"pain on outer elbow, weak grip, burning sensation, fatigue, dehydration","Severe case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Adult.",Maintain good hygiene.
81,Contact Dermatitis,Skin,Chronic,Adult,"red rash, itching, dry skin, blisters",Chronic case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Adult.,Prescription medication might be required.
82,Laryngitis,Respiratory,Severe,Elderly,"hoarseness, weak voice, sore throat, dry cough, fatigue, dehydration","Severe case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Elderly.",Seek immediate medical attention.
83,Osteoarthritis,Musculoskeletal,Mild,Child,"joint pain,  stiffness","Mild case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Child.",Rest and hydration recommended.
84,Allergic Rhinitis,Immune,Moderate,Elderly,"sneezing, runny nose, itchy eyes, congestion",Moderate case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Over-the-counter medication may help.
85,Allergic Rhinitis,Immune,Mild,Adult,"sneezing,  runny nose",Mild case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Adult.,Prescription medication might be required.
86,Bronchitis,Respiratory,Chronic,Male,"cough with mucus, fatigue, shortness of breath, chest discomfort",Chronic case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Male.,Apply ice or heat to the affected area.
87,Heat Exhaustion,Environmental,Mild,Child,"heavy sweating,  faintness",Mild case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Child.,Apply ice or heat to the affected area.
88,Dandruff,Skin,Moderate,Female,"flaking scalp, itching, dry skin",Moderate case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Female.,Home remedies can alleviate symptoms.
89,Insomnia,Mental Health,Moderate,General,"difficulty falling asleep, waking up frequently, daytime tiredness",Moderate case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: General.,Rest and hydration recommended.
90,Muscle Strain,Musculoskeletal,Severe,Female,"sudden pain, swelling, muscle weakness, bruising, fatigue, dehydration",Severe case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Female.,Over-the-counter medication may help.
91,Jock Itch,Skin,Acute,Female,"red, itchy rash in the groin area, burning sensation","Acute case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Female.",Over-the-counter medication may help.
92,Insomnia,Mental Health,Moderate,Adult,"difficulty falling asleep, waking up frequently, daytime tiredness",Moderate case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
93,Lower Back Pain,Musculoskeletal,Moderate,Child,"pain in lower back, stiffness, reduced range of motion","Moderate case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: Child.",Home remedies can alleviate symptoms.
94,Muscle Strain,Musculoskeletal,Acute,Male,"sudden pain, swelling, muscle weakness, bruising",Acute case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Male.,Maintain good hygiene.
95,Asthma,Respiratory,Mild,Child,"wheezing,  shortness of breath",Mild case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Child.,Seek immediate medical attention.
96,Pink Eye,Eyes,Mild,Male,"redness,  itching",Mild case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Male.,Monitor symptoms closely.
97,Contact Dermatitis,Skin,Acute,Female,"red rash, itching, dry skin, blisters",Acute case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Female.,Prescription medication might be required.
98,Heartburn,Digestive,Acute,General,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Acute case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: General.",Home remedies can alleviate symptoms.
99,Yeast Infection,Reproductive,Moderate,Female,"itching, irritation, vaginal discharge, pain during urination","Moderate case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Female.",Seek immediate medical attention.
100,Common Cold,Respiratory,Moderate,Elderly,"runny nose, sore throat, coughing, sneezing",Moderate case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
101,Canker Sore,Dental,Severe,Elderly,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Elderly.",Seek immediate medical attention.
102,Asthma,Respiratory,Moderate,Elderly,"wheezing, shortness of breath, chest tightness, coughing",Moderate case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Elderly.,Seek immediate medical attention.
103,Allergic Rhinitis,Immune,Severe,Child,"sneezing, runny nose, itchy eyes, congestion, fatigue, dehydration",Severe case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Child.,Avoid triggers like spicy food or allergens.
104,Tension Headache,Neurological,Chronic,Child,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Child.",Maintain good hygiene.
105,Anxiety,Mental Health,Severe,Child,"nervousness, rapid heart rate, trembling, sweating, fatigue, dehydration","Severe case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Child.",Seek immediate medical attention.
106,Hemorrhoids,Digestive,Severe,Child,"rectal bleeding, itching, pain, swelling, fatigue, dehydration",Severe case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Child.,Monitor symptoms closely.
107,Asthma,Respiratory,Chronic,Elderly,"wheezing, shortness of breath, chest tightness, coughing",Chronic case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
108,Nosebleed,General,Acute,Adult,"bleeding from nose, dry nasal membranes","Acute case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Adult.",Maintain good hygiene.
109,Hypertension,Cardiovascular,Moderate,Elderly,"headaches, shortness of breath, nosebleeds",Moderate case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Elderly.,Home remedies can alleviate symptoms.
110,Anxiety,Mental Health,Moderate,Male,"nervousness, rapid heart rate, trembling, sweating","Moderate case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Male.",Avoid triggers like spicy food or allergens.
111,Influenza,Respiratory,Chronic,Female,"high fever, chills, muscle aches, fatigue, cough",Chronic case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
112,Migraine,Neurological,Chronic,Child,"severe headache, nausea, sensitivity to light, blurred vision",Chronic case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
113,Common Cold,Respiratory,Acute,Child,"runny nose, sore throat, coughing, sneezing",Acute case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Child.,Maintain good hygiene.
114,Sinusitis,Respiratory,Acute,Female,"facial pain, thick nasal discharge, headache, cough",Acute case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Female.,Avoid triggers like spicy food or allergens.
115,Laryngitis,Respiratory,Acute,Female,"hoarseness, weak voice, sore throat, dry cough","Acute case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Female.",Over-the-counter medication may help.
116,Gastroenteritis,Digestive,Mild,Adult,"diarrhea,  stomach cramps","Mild case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Adult.",Monitor symptoms closely.
117,Bronchitis,Respiratory,Acute,Female,"cough with mucus, fatigue, shortness of breath, chest discomfort",Acute case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Female.,Maintain good hygiene.
118,Nosebleed,General,Acute,General,"bleeding from nose, dry nasal membranes","Acute case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: General.",Apply ice or heat to the affected area.
119,Gingivitis,Dental,Severe,Elderly,"swollen gums, bleeding gums, bad breath, receding gums, fatigue, dehydration",Severe case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
120,Indigestion,Digestive,Chronic,Male,"upper abdominal pain, bloating, belching, nausea",Chronic case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Male.,Rest and hydration recommended.
121,Motion Sickness,Neurological,Mild,Child,"nausea,  vomiting","Mild case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Child.",Prescription medication might be required.
122,Carpal Tunnel,Musculoskeletal,Moderate,General,"numbness, tingling, weakness in hand",Moderate case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Prescription medication might be required.
123,Canker Sore,Dental,Severe,Child,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Child.",Maintain good hygiene.
124,Menstrual Cramps,Reproductive,Acute,Child,"throbbing pain in lower abdomen, nausea, headache",Acute case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Child.,Over-the-counter medication may help.
125,Carpal Tunnel,Musculoskeletal,Chronic,Child,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Child.,Apply ice or heat to the affected area.
126,Nausea,Digestive,Severe,Female,"feeling sick to stomach, urge to vomit, dizziness, fatigue, dehydration",Severe case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
127,Influenza,Respiratory,Mild,Child,"high fever,  chills",Mild case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Child.,Home remedies can alleviate symptoms.
128,Ear Infection,Ears,Moderate,Elderly,"ear pain, difficulty hearing, drainage from ear",Moderate case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Elderly.,Seek immediate medical attention.
129,Common Cold,Respiratory,Moderate,General,"runny nose, sore throat, coughing, sneezing",Moderate case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: General.,Home remedies can alleviate symptoms.
130,Toothache,Dental,Chronic,Child,"tooth pain, swelling around tooth, fever, drainage",Chronic case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Child.,Prescription medication might be required.
131,Urinary Tract Infection,Urinary,Mild,Child,"burning during urination,  frequent urge to urinate",Mild case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Child.,Apply ice or heat to the affected area.
132,Athlete's Foot,Skin,Chronic,Adult,"scaly rash, itching, stinging, blisters on feet",Chronic case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Adult.,Seek immediate medical attention.
133,Pink Eye,Eyes,Mild,Child,"redness,  itching",Mild case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
134,Tennis Elbow,Musculoskeletal,Severe,Elderly,"pain on outer elbow, weak grip, burning sensation, fatigue, dehydration","Severe case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Elderly.",Over-the-counter medication may help.
135,Sunburn,Skin,Moderate,Female,"red skin, pain, swelling, blisters",Moderate case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Female.,Over-the-counter medication may help.
