disease,category,severity,text_chunk,chunk_length
Acute Cardiac Syndrome 11,Neurology,High,"Disease: Acute Cardiac Syndrome 11
Description: Acute Cardiac Syndrome 11 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Uncommon
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Organ Dysfunction
Primary Management: Diagnostics",378
Chronic Cardiac Syndrome 12,Endocrine,Critical,"Disease: Chronic Cardiac Syndrome 12
Description: Chronic Cardiac Syndrome 12 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Rare
Disease Progression: Potentially Severe If Untreated
Common Complications: Secondary Infection
Primary Management: Specialist Referral",377
Autoimmune Cardiac Syndrome 13,Respiratory,Low,"Disease: Autoimmune Cardiac Syndrome 13
Description: Autoimmune Cardiac Syndrome 13 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Inflammation Complications
Primary Management: Medication",383
Idiopathic Cardiac Syndrome 14,Gi,Moderate,"Disease: Idiopathic Cardiac Syndrome 14
Description: Idiopathic Cardiac Syndrome 14 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Metabolic Imbalance
Primary Management: Lifestyle",377
Primary Cardiac Syndrome 15,Renal,High,"Disease: Primary Cardiac Syndrome 15
Description: Primary Cardiac Syndrome 15 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Rare
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Neurological Complications
Primary Management: Diagnostics",385
Secondary Cardiac Syndrome 16,Autoimmune,Critical,"Disease: Secondary Cardiac Syndrome 16
Description: Secondary Cardiac Syndrome 16 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Common
Disease Progression: Potentially Severe If Untreated
Common Complications: Organ Dysfunction
Primary Management: Specialist Referral",386
Progressive Cardiac Syndrome 17,Infectious,Low,"Disease: Progressive Cardiac Syndrome 17
Description: Progressive Cardiac Syndrome 17 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Secondary Infection
Primary Management: Medication",374
Congenital Cardiac Syndrome 18,Cardiovascular,Moderate,"Disease: Congenital Cardiac Syndrome 18
Description: Congenital Cardiac Syndrome 18 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Inflammation Complications
Primary Management: Lifestyle",394
Inflammatory Cardiac Syndrome 19,Neurology,High,"Disease: Inflammatory Cardiac Syndrome 19
Description: Inflammatory Cardiac Syndrome 19 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Common
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Metabolic Imbalance
Primary Management: Diagnostics",392
Metabolic Cardiac Syndrome 20,Endocrine,Critical,"Disease: Metabolic Cardiac Syndrome 20
Description: Metabolic Cardiac Syndrome 20 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially Severe If Untreated
Common Complications: Neurological Complications
Primary Management: Specialist Referral",392
Acute Neurological Syndrome 21,Respiratory,Low,"Disease: Acute Neurological Syndrome 21
Description: Acute Neurological Syndrome 21 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Rare
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Organ Dysfunction
Primary Management: Medication",372
Chronic Neurological Syndrome 22,Gi,Moderate,"Disease: Chronic Neurological Syndrome 22
Description: Chronic Neurological Syndrome 22 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Secondary Infection
Primary Management: Lifestyle",379
Autoimmune Neurological Syndrome 23,Renal,High,"Disease: Autoimmune Neurological Syndrome 23
Description: Autoimmune Neurological Syndrome 23 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Uncommon
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Inflammation Complications
Primary Management: Diagnostics",405
Idiopathic Neurological Syndrome 24,Autoimmune,Critical,"Disease: Idiopathic Neurological Syndrome 24
Description: Idiopathic Neurological Syndrome 24 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Rare
Disease Progression: Potentially Severe If Untreated
Common Complications: Metabolic Imbalance
Primary Management: Specialist Referral",398
Primary Neurological Syndrome 25,Infectious,Low,"Disease: Primary Neurological Syndrome 25
Description: Primary Neurological Syndrome 25 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Neurological Complications
Primary Management: Medication",381
Secondary Neurological Syndrome 26,Cardiovascular,Moderate,"Disease: Secondary Neurological Syndrome 26
Description: Secondary Neurological Syndrome 26 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Organ Dysfunction
Primary Management: Lifestyle",397
Progressive Neurological Syndrome 27,Neurology,High,"Disease: Progressive Neurological Syndrome 27
Description: Progressive Neurological Syndrome 27 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Rare
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Secondary Infection
Primary Management: Diagnostics",398
Congenital Neurological Syndrome 28,Endocrine,Critical,"Disease: Congenital Neurological Syndrome 28
Description: Congenital Neurological Syndrome 28 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Common
Disease Progression: Potentially Severe If Untreated
Common Complications: Inflammation Complications
Primary Management: Specialist Referral",402
Inflammatory Neurological Syndrome 29,Respiratory,Low,"Disease: Inflammatory Neurological Syndrome 29
Description: Inflammatory Neurological Syndrome 29 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Metabolic Imbalance
Primary Management: Medication",392
Metabolic Neurological Syndrome 30,Gi,Moderate,"Disease: Metabolic Neurological Syndrome 30
Description: Metabolic Neurological Syndrome 30 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Neurological Complications
Primary Management: Lifestyle",388
Acute Renal Syndrome 31,Renal,High,"Disease: Acute Renal Syndrome 31
Description: Acute Renal Syndrome 31 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Common
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Organ Dysfunction
Primary Management: Diagnostics",370
Chronic Renal Syndrome 32,Autoimmune,Critical,"Disease: Chronic Renal Syndrome 32
Description: Chronic Renal Syndrome 32 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially Severe If Untreated
Common Complications: Secondary Infection
Primary Management: Specialist Referral",382
Autoimmune Renal Syndrome 33,Infectious,Low,"Disease: Autoimmune Renal Syndrome 33
Description: Autoimmune Renal Syndrome 33 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Rare
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Inflammation Complications
Primary Management: Medication",371
Idiopathic Renal Syndrome 34,Cardiovascular,Moderate,"Disease: Idiopathic Renal Syndrome 34
Description: Idiopathic Renal Syndrome 34 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Metabolic Imbalance
Primary Management: Lifestyle",385
Primary Renal Syndrome 35,Neurology,High,"Disease: Primary Renal Syndrome 35
Description: Primary Renal Syndrome 35 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Uncommon
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Neurological Complications
Primary Management: Diagnostics",387
Secondary Renal Syndrome 36,Endocrine,Critical,"Disease: Secondary Renal Syndrome 36
Description: Secondary Renal Syndrome 36 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Rare
Disease Progression: Potentially Severe If Untreated
Common Complications: Organ Dysfunction
Primary Management: Specialist Referral",375
Progressive Renal Syndrome 37,Respiratory,Low,"Disease: Progressive Renal Syndrome 37
Description: Progressive Renal Syndrome 37 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Secondary Infection
Primary Management: Medication",374
Congenital Renal Syndrome 38,Gi,Moderate,"Disease: Congenital Renal Syndrome 38
Description: Congenital Renal Syndrome 38 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Inflammation Complications
Primary Management: Lifestyle",380
Inflammatory Renal Syndrome 39,Renal,High,"Disease: Inflammatory Renal Syndrome 39
Description: Inflammatory Renal Syndrome 39 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Rare
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Metabolic Imbalance
Primary Management: Diagnostics",384
Metabolic Renal Syndrome 40,Autoimmune,Critical,"Disease: Metabolic Renal Syndrome 40
Description: Metabolic Renal Syndrome 40 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Common
Disease Progression: Potentially Severe If Untreated
Common Complications: Neurological Complications
Primary Management: Specialist Referral",391
Acute Hepatic Syndrome 41,Infectious,Low,"Disease: Acute Hepatic Syndrome 41
Description: Acute Hepatic Syndrome 41 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Organ Dysfunction
Primary Management: Medication",360
Chronic Hepatic Syndrome 42,Cardiovascular,Moderate,"Disease: Chronic Hepatic Syndrome 42
Description: Chronic Hepatic Syndrome 42 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Secondary Infection
Primary Management: Lifestyle",381
Autoimmune Hepatic Syndrome 43,Neurology,High,"Disease: Autoimmune Hepatic Syndrome 43
Description: Autoimmune Hepatic Syndrome 43 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Common
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Inflammation Complications
Primary Management: Diagnostics",395
Idiopathic Hepatic Syndrome 44,Endocrine,Critical,"Disease: Idiopathic Hepatic Syndrome 44
Description: Idiopathic Hepatic Syndrome 44 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially Severe If Untreated
Common Complications: Metabolic Imbalance
Primary Management: Specialist Referral",387
Primary Hepatic Syndrome 45,Respiratory,Low,"Disease: Primary Hepatic Syndrome 45
Description: Primary Hepatic Syndrome 45 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Rare
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Neurological Complications
Primary Management: Medication",375
Secondary Hepatic Syndrome 46,Gi,Moderate,"Disease: Secondary Hepatic Syndrome 46
Description: Secondary Hepatic Syndrome 46 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Organ Dysfunction
Primary Management: Lifestyle",371
Progressive Hepatic Syndrome 47,Renal,High,"Disease: Progressive Hepatic Syndrome 47
Description: Progressive Hepatic Syndrome 47 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Uncommon
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Secondary Infection
Primary Management: Diagnostics",390
Congenital Hepatic Syndrome 48,Autoimmune,Critical,"Disease: Congenital Hepatic Syndrome 48
Description: Congenital Hepatic Syndrome 48 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Rare
Disease Progression: Potentially Severe If Untreated
Common Complications: Inflammation Complications
Primary Management: Specialist Referral",395
Inflammatory Hepatic Syndrome 49,Infectious,Low,"Disease: Inflammatory Hepatic Syndrome 49
Description: Inflammatory Hepatic Syndrome 49 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Metabolic Imbalance
Primary Management: Medication",374
Metabolic Hepatic Syndrome 50,Cardiovascular,Moderate,"Disease: Metabolic Hepatic Syndrome 50
Description: Metabolic Hepatic Syndrome 50 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Neurological Complications
Primary Management: Lifestyle",396
Acute Endocrine Syndrome 51,Neurology,High,"Disease: Acute Endocrine Syndrome 51
Description: Acute Endocrine Syndrome 51 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Rare
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Organ Dysfunction
Primary Management: Diagnostics",378
Chronic Endocrine Syndrome 52,Endocrine,Critical,"Disease: Chronic Endocrine Syndrome 52
Description: Chronic Endocrine Syndrome 52 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Common
Disease Progression: Potentially Severe If Untreated
Common Complications: Secondary Infection
Primary Management: Specialist Referral",383
Autoimmune Endocrine Syndrome 53,Respiratory,Low,"Disease: Autoimmune Endocrine Syndrome 53
Description: Autoimmune Endocrine Syndrome 53 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Inflammation Complications
Primary Management: Medication",389
Idiopathic Endocrine Syndrome 54,Gi,Moderate,"Disease: Idiopathic Endocrine Syndrome 54
Description: Idiopathic Endocrine Syndrome 54 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Metabolic Imbalance
Primary Management: Lifestyle",377
Primary Endocrine Syndrome 55,Renal,High,"Disease: Primary Endocrine Syndrome 55
Description: Primary Endocrine Syndrome 55 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Common
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Neurological Complications
Primary Management: Diagnostics",391
Secondary Endocrine Syndrome 56,Autoimmune,Critical,"Disease: Secondary Endocrine Syndrome 56
Description: Secondary Endocrine Syndrome 56 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially Severe If Untreated
Common Complications: Organ Dysfunction
Primary Management: Specialist Referral",392
Progressive Endocrine Syndrome 57,Infectious,Low,"Disease: Progressive Endocrine Syndrome 57
Description: Progressive Endocrine Syndrome 57 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Rare
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Secondary Infection
Primary Management: Medication",374
Congenital Endocrine Syndrome 58,Cardiovascular,Moderate,"Disease: Congenital Endocrine Syndrome 58
Description: Congenital Endocrine Syndrome 58 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Inflammation Complications
Primary Management: Lifestyle",400
Inflammatory Endocrine Syndrome 59,Neurology,High,"Disease: Inflammatory Endocrine Syndrome 59
Description: Inflammatory Endocrine Syndrome 59 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Uncommon
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Metabolic Imbalance
Primary Management: Diagnostics",398
Metabolic Endocrine Syndrome 60,Endocrine,Critical,"Disease: Metabolic Endocrine Syndrome 60
Description: Metabolic Endocrine Syndrome 60 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Rare
Disease Progression: Potentially Severe If Untreated
Common Complications: Neurological Complications
Primary Management: Specialist Referral",392
Acute Gastro Syndrome 61,Respiratory,Low,"Disease: Acute Gastro Syndrome 61
Description: Acute Gastro Syndrome 61 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Organ Dysfunction
Primary Management: Medication",362
Chronic Gastro Syndrome 62,Gi,Moderate,"Disease: Chronic Gastro Syndrome 62
Description: Chronic Gastro Syndrome 62 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Secondary Infection
Primary Management: Lifestyle",369
Autoimmune Gastro Syndrome 63,Renal,High,"Disease: Autoimmune Gastro Syndrome 63
Description: Autoimmune Gastro Syndrome 63 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Rare
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Inflammation Complications
Primary Management: Diagnostics",389
Idiopathic Gastro Syndrome 64,Autoimmune,Critical,"Disease: Idiopathic Gastro Syndrome 64
Description: Idiopathic Gastro Syndrome 64 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Common
Disease Progression: Potentially Severe If Untreated
Common Complications: Metabolic Imbalance
Primary Management: Specialist Referral",388
Primary Gastro Syndrome 65,Infectious,Low,"Disease: Primary Gastro Syndrome 65
Description: Primary Gastro Syndrome 65 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Neurological Complications
Primary Management: Medication",371
Secondary Gastro Syndrome 66,Cardiovascular,Moderate,"Disease: Secondary Gastro Syndrome 66
Description: Secondary Gastro Syndrome 66 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Organ Dysfunction
Primary Management: Lifestyle",381
Progressive Gastro Syndrome 67,Neurology,High,"Disease: Progressive Gastro Syndrome 67
Description: Progressive Gastro Syndrome 67 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Common
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Secondary Infection
Primary Management: Diagnostics",388
Congenital Gastro Syndrome 68,Endocrine,Critical,"Disease: Congenital Gastro Syndrome 68
Description: Congenital Gastro Syndrome 68 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially Severe If Untreated
Common Complications: Inflammation Complications
Primary Management: Specialist Referral",392
Inflammatory Gastro Syndrome 69,Respiratory,Low,"Disease: Inflammatory Gastro Syndrome 69
Description: Inflammatory Gastro Syndrome 69 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Rare
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Metabolic Imbalance
Primary Management: Medication",376
Metabolic Gastro Syndrome 70,Gi,Moderate,"Disease: Metabolic Gastro Syndrome 70
Description: Metabolic Gastro Syndrome 70 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Neurological Complications
Primary Management: Lifestyle",378
Acute Dermatologic Syndrome 71,Renal,High,"Disease: Acute Dermatologic Syndrome 71
Description: Acute Dermatologic Syndrome 71 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Uncommon
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Organ Dysfunction
Primary Management: Diagnostics",386
Chronic Dermatologic Syndrome 72,Autoimmune,Critical,"Disease: Chronic Dermatologic Syndrome 72
Description: Chronic Dermatologic Syndrome 72 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Rare
Disease Progression: Potentially Severe If Untreated
Common Complications: Secondary Infection
Primary Management: Specialist Referral",392
Autoimmune Dermatologic Syndrome 73,Infectious,Low,"Disease: Autoimmune Dermatologic Syndrome 73
Description: Autoimmune Dermatologic Syndrome 73 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Inflammation Complications
Primary Management: Medication",387
